Date-hour,Month,Day,Hour,G(h),Temperature
20210101-0500,1,1,5,0,2.81
20210101-0600,1,1,6,0,2.28
20210101-0700,1,1,7,0,1.74
20210101-0800,1,1,8,61,2.17
20210101-0900,1,1,9,222,2.45
20210101-1000,1,1,10,338,3.5
20210101-1100,1,1,11,447,4.15
20210101-1200,1,1,12,49,4.93
20210101-1300,1,1,13,461,5.39
20210101-1400,1,1,14,3,5.72
20210101-1500,1,1,15,261,5.82
20210101-1600,1,1,16,107,5.45
20210101-1700,1,1,17,0,4.52
20210101-1800,1,1,18,0,3.82
20210101-1900,1,1,19,0,3.33
20210102-0500,1,2,5,0,-1.4
20210102-0600,1,2,6,0,-2.24
20210102-0700,1,2,7,0,-3.13
20210102-0800,1,2,8,51,-3.35
20210102-0900,1,2,9,225,-0.68
20210102-1000,1,2,10,371,1.76
20210102-1100,1,2,11,469,3.51
20210102-1200,1,2,12,51,4.78
20210102-1300,1,2,13,486,5.52
20210102-1400,1,2,14,377,5.81
20210102-1500,1,2,15,283,5.76
20210102-1600,1,2,16,113,5.19
20210102-1700,1,2,17,0,4.5
20210102-1800,1,2,18,0,2.82
20210102-1900,1,2,19,0,1.86
20210103-0500,1,3,5,0,-3.51
20210103-0600,1,3,6,0,-3.52
20210103-0700,1,3,7,0,-3.55
20210103-0800,1,3,8,63,-3.31
20210103-0900,1,3,9,222,-0.77
20210103-1000,1,3,10,363,1.78
20210103-1100,1,3,11,456,3.58
20210103-1200,1,3,12,497,4.96
20210103-1300,1,3,13,48,5.71
20210103-1400,1,3,14,401,5.93
20210103-1500,1,3,15,271,5.77
20210103-1600,1,3,16,112,5.8
20210103-1700,1,3,17,0,3.43
20210103-1800,1,3,18,0,2.0
20210103-1900,1,3,19,0,1.93
20210104-0500,1,4,5,0,-0.12
20210104-0600,1,4,6,0,0.5
20210104-0700,1,4,7,0,-0.4
20210104-0800,1,4,8,5,0.1
20210104-0900,1,4,9,156,0.97
20210104-1000,1,4,10,151,1.76
20210104-1100,1,4,11,254,2.81
20210104-1200,1,4,12,249,3.7
