Date-hour,Month,Day,Hour,G(h),Temperature
20180101:0000,01,01,00,0.0,4.11
20180101:0100,01,01,01,0.0,3.78
20180101:0200,01,01,02,0.0,3.45
20180101:0300,01,01,03,0.0,3.12
20180101:0400,01,01,04,0.0,2.79
20180101:0500,01,01,05,0.0,2.47
20180101:0600,01,01,06,0.0,2.14
20180101:0700,01,01,07,0.0,1.81
20180101:0800,01,01,08,69.0,0.98
20180101:0900,01,01,09,199.0,3.25
20180101:1000,01,01,10,350.0,6.92
20180101:1100,01,01,11,449.0,8.72
20180101:1200,01,01,12,499.0,10.16
20180101:1300,01,01,13,464.0,10.88
20180101:1400,01,01,14,386.0,10.87
20180101:1500,01,01,15,262.0,10.39
20180101:1600,01,01,16,103.0,9.57
20180101:1700,01,01,17,0.0,8.58
20180101:1800,01,01,18,0.0,7.95
20180101:1900,01,01,19,0.0,7.77
20180101:2000,01,01,20,0.0,7.21
20180101:2100,01,01,21,0.0,6.67
20180101:2200,01,01,22,0.0,6.28
20180101:2300,01,01,23,0.0,5.85
20180102:0000,01,02,00,0.0,5.48
20180102:0100,01,02,01,0.0,5.15
20180102:0200,01,02,02,0.0,5.2
20180102:0300,01,02,03,0.0,5.45
20180102:0400,01,02,04,0.0,5.69
20180102:0500,01,02,05,0.0,5.66
20180102:0600,01,02,06,0.0,5.58
20180102:0700,01,02,07,0.0,5.43
20180102:0800,01,02,08,44.0,5.51
20180102:0900,01,02,09,122.0,5.9
20180102:1000,01,02,10,247.0,6.53
20180102:1100,01,02,11,339.0,7.25
20180102:1200,01,02,12,372.0,8.09
20180102:1300,01,02,13,437.0,8.92
20180102:1400,01,02,14,372.0,9.78
20180102:1500,01,02,15,256.0,10.43
20180102:1600,01,02,16,103.0,10.44
20180102:1700,01,02,17,0.0,9.81
20180102:1800,01,02,18,0.0,9.11
20180102:1900,01,02,19,0.0,8.16
20180102:2000,01,02,20,0.0,7.62
20180102:2100,01,02,21,0.0,7.14
20180102:2200,01,02,22,0.0,6.64
20180102:2300,01,02,23,0.0,6.34
20180103:0000,01,03,00,0.0,6.29
20180103:0100,01,03,01,0.0,6.51
20180103:0200,01,03,02,0.0,6.97
20180103:0300,01,03,03,0.0,7.36
20180103:0400,01,03,04,0.0,7.58
20180103:0500,01,03,05,0.0,7.69
20180103:0600,01,03,06,0.0,7.81
