Date-hour,Month,Day,Hour,G(h),Temperature
20060101:0000,01,01,00,7.45,-5.03
20060101:0100,01,01,01,0.0,-4.8
20060101:0200,01,01,02,0.0,-4.56
20060101:0300,01,01,03,0.0,-4.33
20060101:0400,01,01,04,0.0,-4.09
20060101:0500,01,01,05,0.0,-3.86
20060101:0600,01,01,06,0.0,-3.62
20060101:0700,01,01,07,0.0,-3.38
20060101:0800,01,01,08,0.0,-3.68
20060101:0900,01,01,09,0.0,-3.55
20060101:1000,01,01,10,0.0,-3.63
20060101:1100,01,01,11,0.0,-3.27
20060101:1200,01,01,12,0.0,-3.5
20060101:1300,01,01,13,0.0,-3.72
20060101:1400,01,01,14,0.0,-4.0
20060101:1500,01,01,15,0.0,-4.57
20060101:1600,01,01,16,0.0,-5.04
20060101:1700,01,01,17,0.0,-5.05
20060101:1800,01,01,18,0.0,-5.27
20060101:1900,01,01,19,0.0,-6.21
20060101:2000,01,01,20,26.8,-5.72
20060101:2100,01,01,21,42.45,-5.35
20060101:2200,01,01,22,37.0,-5.04
20060101:2300,01,01,23,28.05,-4.72
20060102:0000,01,02,00,6.2,-4.48
20060102:0100,01,02,01,0.0,-4.66
20060102:0200,01,02,02,0.0,-4.78
20060102:0300,01,02,03,0.0,-4.79
20060102:0400,01,02,04,0.0,-5.08
20060102:0500,01,02,05,0.0,-5.59
20060102:0600,01,02,06,0.0,-6.09
20060102:0700,01,02,07,0.0,-5.72
20060102:0800,01,02,08,0.0,-5.97
20060102:0900,01,02,09,0.0,-5.97
20060102:1000,01,02,10,0.0,-6.05
20060102:1100,01,02,11,0.0,-6.35
20060102:1200,01,02,12,0.0,-6.48
20060102:1300,01,02,13,0.0,-6.71
20060102:1400,01,02,14,0.0,-7.08
20060102:1500,01,02,15,0.0,-7.56
20060102:1600,01,02,16,0.0,-7.67
20060102:1700,01,02,17,0.0,-7.82
20060102:1800,01,02,18,0.0,-7.56
20060102:1900,01,02,19,0.0,-7.09
20060102:2000,01,02,20,29.45,-7.07
20060102:2100,01,02,21,48.8,-6.69
20060102:2200,01,02,22,53.75,-5.57
20060102:2300,01,02,23,36.2,-5.35
20060103:0000,01,03,00,7.65,-5.64
20060103:0100,01,03,01,0.0,-5.98
20060103:0200,01,03,02,0.0,-5.8
20060103:0300,01,03,03,0.0,-5.64
20060103:0400,01,03,04,0.0,-5.74
20060103:0500,01,03,05,0.0,-5.89
20060103:0600,01,03,06,0.0,-6.32
20060103:0700,01,03,07,0.0,-7.98
20060103:0800,01,03,08,0.0,-8.67
20060103:0900,01,03,09,0.0,-8.89
20060103:1000,01,03,10,0.0,-9.08
20060103:1100,01,03,11,0.0,-8.94
20060103:1200,01,03,12,0.0,-8.7
20060103:1300,01,03,13,0.0,-8.61
20060103:1400,01,03,14,0.0,-8.3
20060103:1500,01,03,15,0.0,-8.13
20060103:1600,01,03,16,0.0,-8.39
20060103:1700,01,03,17,0.0,-8.85
20060103:1800,01,03,18,0.0,-9.05
20060103:1900,01,03,19,0.0,-9.87
20060103:2000,01,03,20,39.05,-10.19
20060103:2100,01,03,21,61.8,-10.18
20060103:2200,01,03,22,65.5,-9.88
20060103:2300,01,03,23,43.85,-9.73
20060104:0000,01,04,00,10.75,-9.67
20060104:0100,01,04,01,0.0,-10.2
20060104:0200,01,04,02,0.0,-10.65
20060104:0300,01,04,03,0.0,-11.13
20060104:0400,01,04,04,0.0,-11.17
20060104:0500,01,04,05,0.0,-11.27
20060104:0600,01,04,06,0.0,-11.36
20060104:0700,01,04,07,0.0,-11.41
20060104:0800,01,04,08,0.0,-11.43
20060104:0900,01,04,09,0.0,-11.7
20060104:1000,01,04,10,0.0,-11.93
20060104:1100,01,04,11,0.0,-11.83
20060104:1200,01,04,12,0.0,-11.63
20060104:1300,01,04,13,0.0,-11.56
20060104:1400,01,04,14,0.0,-11.71
20060104:1500,01,04,15,0.0,-11.9
20060104:1600,01,04,16,0.0,-12.19
20060104:1700,01,04,17,0.0,-12.51
20060104:1800,01,04,18,0.0,-12.68
20060104:1900,01,04,19,0.0,-13.3
20060104:2000,01,04,20,43.5,-13.73
20060104:2100,01,04,21,68.05,-13.37
20060104:2200,01,04,22,73.1,-12.95
20060104:2300,01,04,23,50.25,-12.53
20060105:0000,01,05,00,12.65,-12.37
20060105:0100,01,05,01,0.0,-12.63
20060105:0200,01,05,02,0.0,-12.66
20060105:0300,01,05,03,0.0,-12.58
20060105:0400,01,05,04,0.0,-12.39
20060105:0500,01,05,05,0.0,-12.25
20060105:0600,01,05,06,0.0,-12.27
20060105:0700,01,05,07,0.0,-12.05
20060105:0800,01,05,08,0.0,-11.72
20060105:0900,01,05,09,0.0,-11.5
20060105:1000,01,05,10,0.0,-11.01
20060105:1100,01,05,11,0.0,-11.48
20060105:1200,01,05,12,0.0,-11.74
20060105:1300,01,05,13,0.0,-12.35
20060105:1400,01,05,14,0.0,-12.3
20060105:1500,01,05,15,0.0,-12.35
20060105:1600,01,05,16,0.0,-12.39
20060105:1700,01,05,17,0.0,-12.51
20060105:1800,01,05,18,0.0,-13.03
20060105:1900,01,05,19,0.0,-14.35
20060105:2000,01,05,20,46.75,-14.73
20060105:2100,01,05,21,75.75,-14.36
20060105:2200,01,05,22,79.7,-13.71
20060105:2300,01,05,23,54.1,-13.7
20060106:0000,01,06,00,14.15,-14.21
20060106:0100,01,06,01,0.0,-14.97
20060106:0200,01,06,02,0.0,-14.87
20060106:0300,01,06,03,0.0,-14.64
20060106:0400,01,06,04,0.0,-14.36
20060106:0500,01,06,05,0.0,-14.08
20060106:0600,01,06,06,0.0,-13.63
20060106:0700,01,06,07,0.0,-14.52
20060106:0800,01,06,08,0.0,-14.0
20060106:0900,01,06,09,0.0,-13.13
20060106:1000,01,06,10,0.0,-12.44
20060106:1100,01,06,11,0.0,-11.65
20060106:1200,01,06,12,0.0,-10.82
20060106:1300,01,06,13,0.0,-10.01
20060106:1400,01,06,14,0.0,-9.93
20060106:1500,01,06,15,0.0,-9.2
20060106:1600,01,06,16,0.0,-8.49
20060106:1700,01,06,17,0.0,-8.66
20060106:1800,01,06,18,0.0,-8.68
20060106:1900,01,06,19,0.0,-8.14
20060106:2000,01,06,20,27.75,-8.42
20060106:2100,01,06,21,48.2,-8.51
20060106:2200,01,06,22,55.0,-8.77
20060106:2300,01,06,23,43.3,-8.81
20060107:0000,01,07,00,12.6,-9.16
20060107:0100,01,07,01,0.0,-9.17
20060107:0200,01,07,02,0.0,-9.49
20060107:0300,01,07,03,0.0,-9.44
20060107:0400,01,07,04,0.0,-9.69
20060107:0500,01,07,05,0.0,-9.63
20060107:0600,01,07,06,0.0,-9.71
20060107:0700,01,07,07,0.0,-9.0
20060107:0800,01,07,08,0.0,-9.56
20060107:0900,01,07,09,0.0,-9.22
20060107:1000,01,07,10,0.0,-9.22
20060107:1100,01,07,11,0.0,-9.11
20060107:1200,01,07,12,0.0,-8.89
20060107:1300,01,07,13,0.0,-8.77
20060107:1400,01,07,14,0.0,-7.83
20060107:1500,01,07,15,0.0,-7.5
20060107:1600,01,07,16,0.0,-6.82
20060107:1700,01,07,17,0.0,-6.24
20060107:1800,01,07,18,0.0,-5.97
20060107:1900,01,07,19,0.0,-5.4
20060107:2000,01,07,20,37.8,-5.29
20060107:2100,01,07,21,44.45,-4.79
20060107:2200,01,07,22,54.35,-4.43
20060107:2300,01,07,23,39.9,-4.1
20060108:0000,01,08,00,14.15,-4.13
20060108:0100,01,08,01,0.0,-4.3
20060108:0200,01,08,02,0.0,-4.51
