Date-hour,Month,Day,Hour,G(h),Temperature
20210101:0000,01,01,00,0.0,18.58
20210101:0100,01,01,01,0.0,18.27
20210101:0200,01,01,02,0.0,17.96
20210101:0300,01,01,03,131.0,17.65
20210101:0400,01,01,04,160.0,17.34
20210101:0500,01,01,05,215.0,17.03
20210101:0600,01,01,06,469.0,16.72
20210101:0700,01,01,07,627.0,16.41
20210101:0800,01,01,08,722.0,19.65
20210101:0900,01,01,09,714.0,20.24
20210101:1000,01,01,10,1024.0,21.05
20210101:1100,01,01,11,898.0,22.05
20210101:1200,01,01,12,561.0,22.56
20210101:1300,01,01,13,527.0,22.26
20210101:1400,01,01,14,215.0,21.73
20210101:1500,01,01,15,30.0,20.45
20210101:1600,01,01,16,0.0,19.01
20210101:1700,01,01,17,0.0,17.91
20210101:1800,01,01,18,0.0,17.3
20210101:1900,01,01,19,0.0,17.44
20210101:2000,01,01,20,0.0,17.18
20210101:2100,01,01,21,0.0,16.92
20210101:2200,01,01,22,0.0,16.84
20210101:2300,01,01,23,0.0,16.87
20210102:0000,01,02,00,0.0,16.85
20210102:0100,01,02,01,0.0,16.59
20210102:0200,01,02,02,0.0,16.3
20210102:0300,01,02,03,125.0,16.43
20210102:0400,01,02,04,103.0,17.42
20210102:0500,01,02,05,469.0,19.28
20210102:0600,01,02,06,834.0,21.27
20210102:0700,01,02,07,992.0,22.65
20210102:0800,01,02,08,1101.0,24.3
20210102:0900,01,02,09,1095.0,25.27
20210102:1000,01,02,10,1063.0,25.78
20210102:1100,01,02,11,951.0,25.53
20210102:1200,01,02,12,755.0,25.1
20210102:1300,01,02,13,530.0,24.6
20210102:1400,01,02,14,219.0,23.74
20210102:1500,01,02,15,53.0,21.95
20210102:1600,01,02,16,0.0,20.09
20210102:1700,01,02,17,0.0,18.9
20210102:1800,01,02,18,0.0,18.27
20210102:1900,01,02,19,0.0,18.19
20210102:2000,01,02,20,0.0,18.04
20210102:2100,01,02,21,0.0,17.89
20210102:2200,01,02,22,0.0,17.5
20210102:2300,01,02,23,0.0,17.15
20210103:0000,01,03,00,0.0,16.8
20210103:0100,01,03,01,0.0,16.49
20210103:0200,01,03,02,0.0,16.65
20210103:0300,01,03,03,12.0,16.63
20210103:0400,01,03,04,115.0,17.28
20210103:0500,01,03,05,271.0,18.7
20210103:0600,01,03,06,664.0,20.17
20210103:0700,01,03,07,877.0,21.25
20210103:0800,01,03,08,798.0,22.83
20210103:0900,01,03,09,1044.0,24.02
20210103:1000,01,03,10,651.0,24.9
20210103:1100,01,03,11,906.0,24.67
20210103:1200,01,03,12,617.0,24.07
20210103:1300,01,03,13,520.0,22.52
20210103:1400,01,03,14,282.0,21.52
20210103:1500,01,03,15,43.0,20.21
20210103:1600,01,03,16,0.0,18.63
20210103:1700,01,03,17,0.0,17.62
20210103:1800,01,03,18,0.0,17.48
20210103:1900,01,03,19,0.0,17.42
20210103:2000,01,03,20,0.0,17.2
20210103:2100,01,03,21,0.0,16.86
20210103:2200,01,03,22,0.0,16.53
20210103:2300,01,03,23,0.0,16.02
20210104:0000,01,04,00,0.0,15.58
20210104:0100,01,04,01,0.0,15.1
20210104:0200,01,04,02,0.0,14.76
20210104:0300,01,04,03,12.0,14.62
20210104:0400,01,04,04,282.0,15.37
20210104:0500,01,04,05,544.0,16.9
20210104:0600,01,04,06,794.0,19.22
20210104:0700,01,04,07,997.0,21.01
20210104:0800,01,04,08,1126.0,22.9
20210104:0900,01,04,09,1158.0,24.46
20210104:1000,01,04,10,1106.0,25.46
20210104:1100,01,04,11,986.0,26.07
20210104:1200,01,04,12,780.0,25.79
20210104:1300,01,04,13,556.0,25.13
20210104:1400,01,04,14,288.0,23.86
20210104:1500,01,04,15,57.0,22.16
20210104:1600,01,04,16,0.0,20.41
20210104:1700,01,04,17,0.0,18.85
20210104:1800,01,04,18,0.0,17.48
20210104:1900,01,04,19,0.0,16.91
20210104:2000,01,04,20,0.0,16.89
20210104:2100,01,04,21,0.0,16.89
20210104:2200,01,04,22,0.0,16.68
20210104:2300,01,04,23,0.0,16.59
20210105:0000,01,05,00,0.0,16.29
20210105:0100,01,05,01,0.0,16.11
20210105:0200,01,05,02,0.0,15.77
20210105:0300,01,05,03,11.0,15.6
20210105:0400,01,05,04,363.0,17.18
20210105:0500,01,05,05,589.0,19.17
20210105:0600,01,05,06,814.0,21.33
20210105:0700,01,05,07,948.0,23.54
20210105:0800,01,05,08,1061.0,25.13
20210105:0900,01,05,09,1068.0,26.25
20210105:1000,01,05,10,950.0,27.21
20210105:1100,01,05,11,695.0,27.69
20210105:1200,01,05,12,653.0,27.57
20210105:1300,01,05,13,48.0,26.98
20210105:1400,01,05,14,33.0,25.18
20210105:1500,01,05,15,13.0,23.03
20210105:1600,01,05,16,0.0,21.18
20210105:1700,01,05,17,0.0,19.84
20210105:1800,01,05,18,0.0,18.91
20210105:1900,01,05,19,0.0,18.38
20210105:2000,01,05,20,0.0,17.85
20210105:2100,01,05,21,0.0,17.61
20210105:2200,01,05,22,0.0,17.38
20210105:2300,01,05,23,0.0,17.27
20210106:0000,01,06,00,0.0,17.09
20210106:0100,01,06,01,0.0,17.0
20210106:0200,01,06,02,0.0,16.63
20210106:0300,01,06,03,11.0,16.68
20210106:0400,01,06,04,85.0,18.42
20210106:0500,01,06,05,102.0,20.4
20210106:0600,01,06,06,383.0,22.35
20210106:0700,01,06,07,928.0,23.73
20210106:0800,01,06,08,1079.0,25.28
20210106:0900,01,06,09,1074.0,26.38
20210106:1000,01,06,10,1080.0,27.5
20210106:1100,01,06,11,973.0,27.73
20210106:1200,01,06,12,775.0,27.6
20210106:1300,01,06,13,464.0,26.45
20210106:1400,01,06,14,224.0,25.1
20210106:1500,01,06,15,50.0,23.47
20210106:1600,01,06,16,0.0,21.69
20210106:1700,01,06,17,0.0,20.19
20210106:1800,01,06,18,0.0,19.28
20210106:1900,01,06,19,0.0,18.94
20210106:2000,01,06,20,0.0,18.48
20210106:2100,01,06,21,0.0,18.11
20210106:2200,01,06,22,0.0,18.02
20210106:2300,01,06,23,0.0,17.88
20210107:0000,01,07,00,0.0,17.76
