Date-hour,Month,Day,Hour,G(h),Temperature
20210101:0000,01,01,00,116.6,22.38
20210101:0100,01,01,01,327.05,22.47
20210101:0200,01,01,02,519.85,22.56
20210101:0300,01,01,03,691.05,22.65
20210101:0400,01,01,04,796.1,22.74
20210101:0500,01,01,05,822.65,22.84
20210101:0600,01,01,06,751.7,22.93
20210101:0700,01,01,07,638.45,23.02
20210101:0800,01,01,08,468.7,26.93
20210101:0900,01,01,09,254.45,26.85
20210101:1000,01,01,10,55.35,26.42
20210101:1100,01,01,11,0.0,25.25
20210101:1200,01,01,12,0.0,24.13
20210101:1300,01,01,13,0.0,23.62
20210101:1400,01,01,14,0.0,23.07
20210101:1500,01,01,15,0.0,22.7
20210101:1600,01,01,16,0.0,22.02
20210101:1700,01,01,17,0.0,21.68
20210101:1800,01,01,18,0.0,21.23
20210101:1900,01,01,19,0.0,20.34
20210101:2000,01,01,20,0.0,19.85
20210101:2100,01,01,21,0.0,19.42
20210101:2200,01,01,22,0.0,19.1
20210101:2300,01,01,23,0.0,18.81
20210102:0000,01,02,00,87.25,18.52
20210102:0100,01,02,01,251.55,19.3
20210102:0200,01,02,02,480.15,20.53
20210102:0300,01,02,03,663.55,22.1
20210102:0400,01,02,04,743.25,23.64
20210102:0500,01,02,05,802.65,24.99
20210102:0600,01,02,06,716.9,26.22
20210102:0700,01,02,07,615.0,26.65
20210102:0800,01,02,08,463.75,27.19
20210102:0900,01,02,09,255.0,27.4
20210102:1000,01,02,10,64.6,27.13
20210102:1100,01,02,11,0.0,25.93
20210102:1200,01,02,12,0.0,24.81
20210102:1300,01,02,13,0.0,24.11
20210102:1400,01,02,14,0.0,23.53
20210102:1500,01,02,15,0.0,22.96
20210102:1600,01,02,16,0.0,22.38
20210102:1700,01,02,17,0.0,21.84
20210102:1800,01,02,18,0.0,21.35
20210102:1900,01,02,19,0.0,21.01
20210102:2000,01,02,20,0.0,20.58
20210102:2100,01,02,21,0.0,20.25
20210102:2200,01,02,22,0.0,19.99
20210102:2300,01,02,23,0.0,19.82
20210103:0000,01,03,00,108.15,19.58
20210103:0100,01,03,01,318.35,20.72
20210103:0200,01,03,02,519.95,22.69
20210103:0300,01,03,03,678.35,24.66
20210103:0400,01,03,04,776.05,26.45
20210103:0500,01,03,05,802.55,27.93
