Date-hour,Month,Day,Hour,G(h),Temperature
20100101:0000,01,01,00,0.0,21.99
20100101:0100,01,01,01,0.0,21.29
20100101:0200,01,01,02,0.0,20.59
20100101:0300,01,01,03,0.0,19.89
20100101:0400,01,01,04,0.0,19.19
20100101:0500,01,01,05,0.0,18.48
20100101:0600,01,01,06,0.0,17.78
20100101:0700,01,01,07,0.0,17.08
20100101:0800,01,01,08,0.0,18.65
20100101:0900,01,01,09,68.0,18.78
20100101:1000,01,01,10,143.0,19.47
20100101:1100,01,01,11,399.0,19.98
20100101:1200,01,01,12,562.0,20.74
20100101:1300,01,01,13,524.0,21.52
20100101:1400,01,01,14,668.0,22.29
20100101:1500,01,01,15,710.0,23.55
20100101:1600,01,01,16,322.0,24.53
20100101:1700,01,01,17,457.0,24.99
20100101:1800,01,01,18,557.0,25.16
20100101:1900,01,01,19,279.0,24.51
20100101:2000,01,01,20,27.0,23.26
20100101:2100,01,01,21,70.0,22.7
20100101:2200,01,01,22,0.0,21.86
20100101:2300,01,01,23,0.0,21.22
20100102:0000,01,02,00,0.0,20.61
20100102:0100,01,02,01,0.0,19.78
20100102:0200,01,02,02,0.0,18.97
20100102:0300,01,02,03,0.0,18.39
20100102:0400,01,02,04,0.0,18.02
20100102:0500,01,02,05,0.0,18.0
20100102:0600,01,02,06,0.0,17.61
20100102:0700,01,02,07,0.0,17.21
20100102:0800,01,02,08,0.0,16.62
20100102:0900,01,02,09,103.0,16.71
20100102:1000,01,02,10,354.0,19.06
20100102:1100,01,02,11,603.0,20.78
20100102:1200,01,02,12,831.0,22.25
20100102:1300,01,02,13,1009.0,23.6
20100102:1400,01,02,14,1099.0,24.68
20100102:1500,01,02,15,1125.0,25.46
20100102:1600,01,02,16,1081.0,26.03
20100102:1700,01,02,17,980.0,26.37
20100102:1800,01,02,18,795.0,26.39
20100102:1900,01,02,19,547.0,26.08
20100102:2000,01,02,20,308.0,25.5
20100102:2100,01,02,21,66.0,24.36
20100102:2200,01,02,22,0.0,22.78
20100102:2300,01,02,23,0.0,21.18
20100103:0000,01,03,00,0.0,19.65
20100103:0100,01,03,01,0.0,18.37
20100103:0200,01,03,02,0.0,17.43
20100103:0300,01,03,03,0.0,16.86
20100103:0400,01,03,04,0.0,16.16
20100103:0500,01,03,05,0.0,15.51
20100103:0600,01,03,06,0.0,15.1
20100103:0700,01,03,07,0.0,15.1
20100103:0800,01,03,08,0.0,14.83
20100103:0900,01,03,09,108.0,15.17
20100103:1000,01,03,10,357.0,19.71
20100103:1100,01,03,11,596.0,21.66
20100103:1200,01,03,12,821.0,23.14
20100103:1300,01,03,13,1003.0,24.51
20100103:1400,01,03,14,1087.0,25.63
20100103:1500,01,03,15,1094.0,26.51
20100103:1600,01,03,16,1070.0,27.02
20100103:1700,01,03,17,997.0,27.37
20100103:1800,01,03,18,780.0,27.52
20100103:1900,01,03,19,526.0,26.91
20100103:2000,01,03,20,303.0,26.29
20100103:2100,01,03,21,74.0,25.34
20100103:2200,01,03,22,0.0,23.74
20100103:2300,01,03,23,0.0,22.17
20100104:0000,01,04,00,0.0,20.92
20100104:0100,01,04,01,0.0,19.6
20100104:0200,01,04,02,0.0,18.57
20100104:0300,01,04,03,0.0,17.79
20100104:0400,01,04,04,0.0,17.17
20100104:0500,01,04,05,0.0,16.79
20100104:0600,01,04,06,0.0,16.43
20100104:0700,01,04,07,0.0,16.33
20100104:0800,01,04,08,0.0,16.19
20100104:0900,01,04,09,99.0,16.67
20100104:1000,01,04,10,333.0,20.39
20100104:1100,01,04,11,581.0,22.15
20100104:1200,01,04,12,773.0,23.54
20100104:1300,01,04,13,870.0,24.27
20100104:1400,01,04,14,1048.0,25.03
20100104:1500,01,04,15,1052.0,25.82
20100104:1600,01,04,16,1056.0,26.51
20100104:1700,01,04,17,938.0,26.98
20100104:1800,01,04,18,712.0,27.12
20100104:1900,01,04,19,437.0,26.82
20100104:2000,01,04,20,183.0,24.29
20100104:2100,01,04,21,73.0,23.63
