Date-hour,Month,Day,Hour,G(h),Temperature
20190101:0000,01,01,00,0.0,9.16
20190101:0100,01,01,01,0.0,8.19
20190101:0200,01,01,02,0.0,7.22
20190101:0300,01,01,03,0.0,6.25
20190101:0400,01,01,04,0.0,5.28
20190101:0500,01,01,05,0.0,4.31
20190101:0600,01,01,06,0.0,3.34
20190101:0700,01,01,07,0.0,2.37
20190101:0800,01,01,08,91.0,6.04
20190101:0900,01,01,09,244.0,9.94
20190101:1000,01,01,10,373.0,12.84
20190101:1100,01,01,11,456.0,14.55
20190101:1200,01,01,12,478.0,15.5
20190101:1300,01,01,13,439.0,15.94
20190101:1400,01,01,14,344.0,16.2
20190101:1500,01,01,15,208.0,15.89
20190101:1600,01,01,16,51.0,14.4
20190101:1700,01,01,17,0.0,14.38
20190101:1800,01,01,18,0.0,13.45
20190101:1900,01,01,19,0.0,12.02
20190101:2000,01,01,20,0.0,8.92
20190101:2100,01,01,21,0.0,6.78
20190101:2200,01,01,22,0.0,5.91
20190101:2300,01,01,23,0.0,5.56
20190102:0000,01,02,00,0.0,5.27
20190102:0100,01,02,01,0.0,5.24
20190102:0200,01,02,02,0.0,5.73
20190102:0300,01,02,03,0.0,5.77
20190102:0400,01,02,04,0.0,5.54
20190102:0500,01,02,05,0.0,5.49
20190102:0600,01,02,06,0.0,4.77
20190102:0700,01,02,07,0.0,4.33
20190102:0800,01,02,08,93.0,5.47
20190102:0900,01,02,09,246.0,9.99
20190102:1000,01,02,10,376.0,12.52
20190102:1100,01,02,11,464.0,14.88
20190102:1200,01,02,12,487.0,15.55
20190102:1300,01,02,13,443.0,15.64
20190102:1400,01,02,14,348.0,15.6
20190102:1500,01,02,15,212.0,15.21
20190102:1600,01,02,16,54.0,14.48
20190102:1700,01,02,17,0.0,12.19
20190102:1800,01,02,18,0.0,13.25
20190102:1900,01,02,19,0.0,11.66
20190102:2000,01,02,20,0.0,10.9
20190102:2100,01,02,21,0.0,10.34
20190102:2200,01,02,22,0.0,7.81
20190102:2300,01,02,23,0.0,10.28
20190103:0000,01,03,00,0.0,10.19
20190103:0100,01,03,01,0.0,10.55
20190103:0200,01,03,02,0.0,10.51
20190103:0300,01,03,03,0.0,10.35
20190103:0400,01,03,04,0.0,10.23
20190103:0500,01,03,05,0.0,10.19
20190103:0600,01,03,06,0.0,9.86
20190103:0700,01,03,07,0.0,9.71
20190103:0800,01,03,08,65.0,10.05
20190103:0900,01,03,09,214.0,10.26
20190103:1000,01,03,10,310.0,10.96
20190103:1100,01,03,11,403.0,11.87
20190103:1200,01,03,12,469.0,13.23
20190103:1300,01,03,13,436.0,13.39
20190103:1400,01,03,14,345.0,13.76
20190103:1500,01,03,15,209.0,14.03
20190103:1600,01,03,16,53.0,13.67
20190103:1700,01,03,17,0.0,11.29
20190103:1800,01,03,18,0.0,9.37
20190103:1900,01,03,19,0.0,8.49
20190103:2000,01,03,20,0.0,7.93
20190103:2100,01,03,21,0.0,6.49
20190103:2200,01,03,22,0.0,8.07
20190103:2300,01,03,23,0.0,8.51
20190104:0000,01,04,00,0.0,7.92
20190104:0100,01,04,01,0.0,5.92
20190104:0200,01,04,02,0.0,4.36
20190104:0300,01,04,03,0.0,3.95
20190104:0400,01,04,04,0.0,3.7
20190104:0500,01,04,05,0.0,3.88
20190104:0600,01,04,06,0.0,3.71
20190104:0700,01,04,07,0.0,3.53
20190104:0800,01,04,08,98.0,4.08
20190104:0900,01,04,09,248.0,8.0
20190104:1000,01,04,10,373.0,10.42
20190104:1100,01,04,11,454.0,11.22
20190104:1200,01,04,12,466.0,12.19
20190104:1300,01,04,13,374.0,12.55
20190104:1400,01,04,14,160.0,12.91
20190104:1500,01,04,15,140.0,13.0
20190104:1600,01,04,16,52.0,12.37
20190104:1700,01,04,17,0.0,9.81
20190104:1800,01,04,18,0.0,8.91
20190104:1900,01,04,19,0.0,7.71
20190104:2000,01,04,20,0.0,9.92
20190104:2100,01,04,21,0.0,8.63
20190104:2200,01,04,22,0.0,7.18
20190104:2300,01,04,23,0.0,6.42
20190105:0000,01,05,00,0.0,7.6
20190105:0100,01,05,01,0.0,7.31
20190105:0200,01,05,02,0.0,5.37
