Date-hour,Month,Day,Hour,G(h),Temperature
20190101:0000,01,01,00,0.0,9.74
20190101:0100,01,01,01,0.0,9.51
20190101:0200,01,01,02,0.0,9.28
20190101:0300,01,01,03,0.0,9.06
20190101:0400,01,01,04,0.0,8.83
20190101:0500,01,01,05,0.0,8.6
20190101:0600,01,01,06,0.0,8.37
20190101:0700,01,01,07,0.0,8.14
20190101:0800,01,01,08,106.0,9.31
20190101:0900,01,01,09,266.0,12.31
20190101:1000,01,01,10,396.0,14.07
20190101:1100,01,01,11,477.0,15.19
20190101:1200,01,01,12,495.0,16.08
20190101:1300,01,01,13,466.0,16.65
20190101:1400,01,01,14,371.0,17.2
20190101:1500,01,01,15,232.0,17.17
20190101:1600,01,01,16,67.0,17.0
20190101:1700,01,01,17,0.0,15.54
20190101:1800,01,01,18,0.0,13.13
20190101:1900,01,01,19,0.0,11.0
20190101:2000,01,01,20,0.0,10.12
20190101:2100,01,01,21,0.0,9.59
20190101:2200,01,01,22,0.0,8.89
20190101:2300,01,01,23,0.0,8.72
20190102:0000,01,02,00,0.0,8.49
20190102:0100,01,02,01,0.0,8.36
20190102:0200,01,02,02,0.0,8.63
20190102:0300,01,02,03,0.0,8.76
20190102:0400,01,02,04,0.0,8.52
20190102:0500,01,02,05,0.0,8.22
20190102:0600,01,02,06,0.0,8.13
20190102:0700,01,02,07,0.0,7.94
20190102:0800,01,02,08,105.0,8.57
20190102:0900,01,02,09,263.0,10.9
20190102:1000,01,02,10,386.0,13.75
20190102:1100,01,02,11,472.0,15.01
20190102:1200,01,02,12,501.0,15.55
20190102:1300,01,02,13,465.0,15.57
20190102:1400,01,02,14,369.0,15.44
20190102:1500,01,02,15,237.0,14.99
20190102:1600,01,02,16,70.0,14.43
20190102:1700,01,02,17,0.0,12.23
20190102:1800,01,02,18,0.0,10.33
20190102:1900,01,02,19,0.0,9.23
20190102:2000,01,02,20,0.0,9.1
20190102:2100,01,02,21,0.0,8.78
20190102:2200,01,02,22,0.0,8.34
20190102:2300,01,02,23,0.0,8.34
20190103:0000,01,03,00,0.0,8.34
20190103:0100,01,03,01,0.0,8.15
20190103:0200,01,03,02,0.0,7.88
20190103:0300,01,03,03,0.0,7.63
20190103:0400,01,03,04,0.0,7.59
20190103:0500,01,03,05,0.0,7.64
20190103:0600,01,03,06,0.0,7.95
20190103:0700,01,03,07,0.0,8.1
20190103:0800,01,03,08,97.0,8.97
20190103:0900,01,03,09,230.0,10.12
20190103:1000,01,03,10,306.0,10.86
20190103:1100,01,03,11,434.0,11.63
20190103:1200,01,03,12,412.0,12.19
20190103:1300,01,03,13,436.0,12.27
20190103:1400,01,03,14,350.0,12.49
20190103:1500,01,03,15,146.0,12.47
20190103:1600,01,03,16,70.0,12.24
20190103:1700,01,03,17,0.0,10.64
20190103:1800,01,03,18,0.0,9.92
20190103:1900,01,03,19,0.0,9.01
20190103:2000,01,03,20,0.0,8.4
20190103:2100,01,03,21,0.0,8.35
20190103:2200,01,03,22,0.0,8.17
20190103:2300,01,03,23,0.0,8.21
20190104:0000,01,04,00,0.0,7.99
20190104:0100,01,04,01,0.0,8.02
20190104:0200,01,04,02,0.0,7.91
20190104:0300,01,04,03,0.0,7.43
20190104:0400,01,04,04,0.0,7.52
20190104:0500,01,04,05,0.0,7.35
20190104:0600,01,04,06,0.0,6.76
20190104:0700,01,04,07,0.0,6.45
20190104:0800,01,04,08,103.0,6.63
20190104:0900,01,04,09,259.0,8.01
20190104:1000,01,04,10,387.0,10.58
20190104:1100,01,04,11,465.0,11.84
20190104:1200,01,04,12,494.0,12.99
20190104:1300,01,04,13,462.0,13.72
20190104:1400,01,04,14,374.0,14.23
20190104:1500,01,04,15,236.0,14.18
20190104:1600,01,04,16,73.0,13.56
20190104:1700,01,04,17,0.0,12.87
20190104:1800,01,04,18,0.0,11.3
20190104:1900,01,04,19,0.0,10.28
20190104:2000,01,04,20,0.0,8.24
20190104:2100,01,04,21,0.0,7.73
20190104:2200,01,04,22,0.0,7.55
20190104:2300,01,04,23,0.0,7.37
20190105:0000,01,05,00,0.0,7.34
20190105:0100,01,05,01,0.0,7.31
20190105:0200,01,05,02,0.0,7.7
20190105:0300,01,05,03,0.0,8.04
20190105:0400,01,05,04,0.0,7.93
20190105:0500,01,05,05,0.0,7.5
20190105:0600,01,05,06,0.0,6.98
20190105:0700,01,05,07,0.0,6.36
20190105:0800,01,05,08,103.0,6.85
20190105:0900,01,05,09,257.0,8.64
20190105:1000,01,05,10,395.0,11.07
20190105:1100,01,05,11,464.0,12.14
20190105:1200,01,05,12,494.0,13.02
20190105:1300,01,05,13,465.0,13.7
20190105:1400,01,05,14,377.0,14.42
20190105:1500,01,05,15,238.0,14.66
20190105:1600,01,05,16,76.0,14.47
20190105:1700,01,05,17,0.0,12.15
20190105:1800,01,05,18,0.0,10.25
20190105:1900,01,05,19,0.0,9.6
20190105:2000,01,05,20,0.0,9.19
20190105:2100,01,05,21,0.0,8.62
20190105:2200,01,05,22,0.0,8.87
20190105:2300,01,05,23,0.0,8.63
20190106:0000,01,06,00,0.0,8.83
20190106:0100,01,06,01,0.0,8.56
20190106:0200,01,06,02,0.0,8.57
20190106:0300,01,06,03,0.0,8.66
20190106:0400,01,06,04,0.0,8.32
