Date-hour,Month,Day,Hour,G(h),Temperature
20100101:0000,01,01,00,0.0,20.69
20100101:0100,01,01,01,0.0,20.95
20100101:0200,01,01,02,0.0,21.2
20100101:0300,01,01,03,0.0,21.46
20100101:0400,01,01,04,42.0,21.72
20100101:0500,01,01,05,101.0,21.97
20100101:0600,01,01,06,146.0,22.23
20100101:0700,01,01,07,343.0,22.48
20100101:0800,01,01,08,638.0,26.88
20100101:0900,01,01,09,1019.0,28.41
20100101:1000,01,01,10,1036.0,29.74
20100101:1100,01,01,11,450.0,30.55
20100101:1200,01,01,12,142.0,29.36
20100101:1300,01,01,13,111.0,29.82
20100101:1400,01,01,14,79.0,26.31
20100101:1500,01,01,15,109.0,25.89
20100101:1600,01,01,16,75.0,25.4
20100101:1700,01,01,17,5.0,23.83
20100101:1800,01,01,18,0.0,22.76
20100101:1900,01,01,19,0.0,21.92
20100101:2000,01,01,20,0.0,21.44
20100101:2100,01,01,21,0.0,20.95
20100101:2200,01,01,22,0.0,20.5
20100101:2300,01,01,23,0.0,20.22
20100102:0000,01,02,00,0.0,19.64
20100102:0100,01,02,01,0.0,19.56
20100102:0200,01,02,02,0.0,19.48
20100102:0300,01,02,03,0.0,19.38
20100102:0400,01,02,04,8.0,19.52
20100102:0500,01,02,05,28.0,20.11
20100102:0600,01,02,06,66.0,20.63
20100102:0700,01,02,07,119.0,18.99
20100102:0800,01,02,08,180.0,18.69
20100102:0900,01,02,09,166.0,18.55
20100102:1000,01,02,10,316.0,18.59
20100102:1100,01,02,11,180.0,18.68
20100102:1200,01,02,12,219.0,18.92
20100102:1300,01,02,13,398.0,21.04
20100102:1400,01,02,14,210.0,21.86
20100102:1500,01,02,15,136.0,21.56
20100102:1600,01,02,16,37.0,21.15
20100102:1700,01,02,17,9.0,20.33
20100102:1800,01,02,18,0.0,19.35
20100102:1900,01,02,19,0.0,17.99
20100102:2000,01,02,20,0.0,17.36
20100102:2100,01,02,21,0.0,16.97
20100102:2200,01,02,22,0.0,16.73
20100102:2300,01,02,23,0.0,16.38
20100103:0000,01,03,00,0.0,16.13
20100103:0100,01,03,01,0.0,15.76
20100103:0200,01,03,02,0.0,15.48
20100103:0300,01,03,03,0.0,15.37
20100103:0400,01,03,04,81.0,15.52
20100103:0500,01,03,05,146.0,17.38
20100103:0600,01,03,06,148.0,19.13
20100103:0700,01,03,07,282.0,22.06
20100103:0800,01,03,08,841.0,22.82
20100103:0900,01,03,09,865.0,23.39
20100103:1000,01,03,10,850.0,24.69
20100103:1100,01,03,11,942.0,26.45
20100103:1200,01,03,12,879.0,27.39
20100103:1300,01,03,13,765.0,28.33
20100103:1400,01,03,14,644.0,25.99
20100103:1500,01,03,15,439.0,23.88
20100103:1600,01,03,16,207.0,23.42
20100103:1700,01,03,17,1.0,22.89
20100103:1800,01,03,18,0.0,22.11
20100103:1900,01,03,19,0.0,19.86
20100103:2000,01,03,20,0.0,18.81
20100103:2100,01,03,21,0.0,18.38
20100103:2200,01,03,22,0.0,18.33
20100103:2300,01,03,23,0.0,17.97
20100104:0000,01,04,00,0.0,17.74
20100104:0100,01,04,01,0.0,17.16
20100104:0200,01,04,02,0.0,16.87
20100104:0300,01,04,03,0.0,16.79
20100104:0400,01,04,04,91.0,17.1
20100104:0500,01,04,05,109.0,18.49
20100104:0600,01,04,06,470.0,20.09
20100104:0700,01,04,07,614.0,22.32
20100104:0800,01,04,08,816.0,24.16
20100104:0900,01,04,09,1038.0,25.52
20100104:1000,01,04,10,992.0,26.58
20100104:1100,01,04,11,844.0,27.68
20100104:1200,01,04,12,896.0,27.56
20100104:1300,01,04,13,734.0,27.4
20100104:1400,01,04,14,589.0,27.82
20100104:1500,01,04,15,441.0,27.6
20100104:1600,01,04,16,172.0,26.84
20100104:1700,01,04,17,1.0,25.21
20100104:1800,01,04,18,0.0,22.79
20100104:1900,01,04,19,0.0,20.54
20100104:2000,01,04,20,0.0,19.09
20100104:2100,01,04,21,0.0,18.28
20100104:2200,01,04,22,0.0,17.49
20100104:2300,01,04,23,0.0,16.75
20100105:0000,01,05,00,0.0,16.23
20100105:0100,01,05,01,0.0,15.94
20100105:0200,01,05,02,0.0,15.81
20100105:0300,01,05,03,0.0,15.42
20100105:0400,01,05,04,82.0,15.41
20100105:0500,01,05,05,312.0,16.93
20100105:0600,01,05,06,542.0,18.83
20100105:0700,01,05,07,748.0,21.15
20100105:0800,01,05,08,916.0,23.06
20100105:0900,01,05,09,954.0,24.23
20100105:1000,01,05,10,1016.0,24.6
20100105:1100,01,05,11,866.0,25.22
20100105:1200,01,05,12,941.0,25.82
20100105:1300,01,05,13,832.0,26.05
20100105:1400,01,05,14,652.0,26.18
20100105:1500,01,05,15,418.0,26.09
20100105:1600,01,05,16,221.0,25.63
20100105:1700,01,05,17,10.0,24.58
20100105:1800,01,05,18,0.0,22.52
