Date-hour,Month,Day,Hour,G(h),Temperature
20060101:0000,01,01,00,0.0,11.28
20060101:0100,01,01,01,0.0,11.0
20060101:0200,01,01,02,0.0,10.71
20060101:0300,01,01,03,0.0,10.43
20060101:0400,01,01,04,0.0,10.14
20060101:0500,01,01,05,14.0,9.86
20060101:0600,01,01,06,60.0,9.57
20060101:0700,01,01,07,220.0,9.29
20060101:0800,01,01,08,344.0,16.71
20060101:0900,01,01,09,475.0,18.95
20060101:1000,01,01,10,495.0,20.7
20060101:1100,01,01,11,446.0,21.8
20060101:1200,01,01,12,328.0,22.43
20060101:1300,01,01,13,211.0,22.41
20060101:1400,01,01,14,43.0,21.77
20060101:1500,01,01,15,0.0,20.12
20060101:1600,01,01,16,0.0,18.68
20060101:1700,01,01,17,0.0,17.47
20060101:1800,01,01,18,0.0,16.24
20060101:1900,01,01,19,0.0,14.82
20060101:2000,01,01,20,0.0,13.61
20060101:2100,01,01,21,0.0,12.58
20060101:2200,01,01,22,0.0,11.77
20060101:2300,01,01,23,0.0,11.04
20060102:0000,01,02,00,0.0,10.43
20060102:0100,01,02,01,0.0,10.49
20060102:0200,01,02,02,0.0,10.4
20060102:0300,01,02,03,0.0,10.81
20060102:0400,01,02,04,0.0,11.28
20060102:0500,01,02,05,10.0,11.58
20060102:0600,01,02,06,103.0,12.13
20060102:0700,01,02,07,346.0,12.91
20060102:0800,01,02,08,489.0,15.05
20060102:0900,01,02,09,573.0,17.34
20060102:1000,01,02,10,627.0,19.24
20060102:1100,01,02,11,572.0,20.61
20060102:1200,01,02,12,477.0,21.44
20060102:1300,01,02,13,315.0,21.81
20060102:1400,01,02,14,107.0,21.48
20060102:1500,01,02,15,0.0,19.92
20060102:1600,01,02,16,0.0,18.23
20060102:1700,01,02,17,0.0,16.99
20060102:1800,01,02,18,0.0,15.79
20060102:1900,01,02,19,0.0,14.85
20060102:2000,01,02,20,0.0,13.79
20060102:2100,01,02,21,0.0,13.01
20060102:2200,01,02,22,0.0,12.45
20060102:2300,01,02,23,0.0,11.91
20060103:0000,01,03,00,0.0,11.58
20060103:0100,01,03,01,0.0,11.27
20060103:0200,01,03,02,0.0,11.0
20060103:0300,01,03,03,0.0,11.06
20060103:0400,01,03,04,0.0,11.16
20060103:0500,01,03,05,13.0,11.24
20060103:0600,01,03,06,164.0,11.93
20060103:0700,01,03,07,331.0,13.78
20060103:0800,01,03,08,524.0,16.28
20060103:0900,01,03,09,598.0,18.53
20060103:1000,01,03,10,633.0,20.43
20060103:1100,01,03,11,612.0,21.78
20060103:1200,01,03,12,468.0,22.51
20060103:1300,01,03,13,325.0,22.63
20060103:1400,01,03,14,136.0,22.02
20060103:1500,01,03,15,0.0,20.27
20060103:1600,01,03,16,0.0,18.44
20060103:1700,01,03,17,0.0,17.08
20060103:1800,01,03,18,0.0,16.02
20060103:1900,01,03,19,0.0,15.66
20060103:2000,01,03,20,0.0,14.93
20060103:2100,01,03,21,0.0,14.3
20060103:2200,01,03,22,0.0,13.72
20060103:2300,01,03,23,0.0,13.16
20060104:0000,01,04,00,0.0,12.54
20060104:0100,01,04,01,0.0,12.03
20060104:0200,01,04,02,0.0,11.65
20060104:0300,01,04,03,0.0,11.32
20060104:0400,01,04,04,0.0,11.35
20060104:0500,01,04,05,13.0,11.42
20060104:0600,01,04,06,185.0,13.09
20060104:0700,01,04,07,363.0,17.14
20060104:0800,01,04,08,502.0,20.7
20060104:0900,01,04,09,602.0,23.13
20060104:1000,01,04,10,625.0,24.8
20060104:1100,01,04,11,584.0,25.9
20060104:1200,01,04,12,477.0,26.47
20060104:1300,01,04,13,326.0,26.45
20060104:1400,01,04,14,102.0,25.8
20060104:1500,01,04,15,0.0,23.94
20060104:1600,01,04,16,0.0,21.97
20060104:1700,01,04,17,0.0,20.43
20060104:1800,01,04,18,0.0,19.27
20060104:1900,01,04,19,0.0,18.19
20060104:2000,01,04,20,0.0,17.13
20060104:2100,01,04,21,0.0,16.13
20060104:2200,01,04,22,0.0,15.25
20060104:2300,01,04,23,0.0,14.41
20060105:0000,01,05,00,0.0,13.53
20060105:0100,01,05,01,0.0,12.51
20060105:0200,01,05,02,0.0,11.51
20060105:0300,01,05,03,0.0,10.68
20060105:0400,01,05,04,0.0,10.3
20060105:0500,01,05,05,13.0,10.19
20060105:0600,01,05,06,197.0,11.81
20060105:0700,01,05,07,384.0,15.27
20060105:0800,01,05,08,516.0,19.09
20060105:0900,01,05,09,619.0,21.11
20060105:1000,01,05,10,646.0,22.58
20060105:1100,01,05,11,604.0,23.55
20060105:1200,01,05,12,490.0,24.03
20060105:1300,01,05,13,332.0,23.94
20060105:1400,01,05,14,117.0,23.28
20060105:1500,01,05,15,0.0,21.61
20060105:1600,01,05,16,0.0,19.65
20060105:1700,01,05,17,0.0,18.22
20060105:1800,01,05,18,0.0,16.97
20060105:1900,01,05,19,0.0,15.87
20060105:2000,01,05,20,0.0,14.51
20060105:2100,01,05,21,0.0,13.23
20060105:2200,01,05,22,0.0,12.08
20060105:2300,01,05,23,0.0,11.03
20060106:0000,01,06,00,0.0,10.19
20060106:0100,01,06,01,0.0,9.6
20060106:0200,01,06,02,0.0,9.21
20060106:0300,01,06,03,0.0,9.1
20060106:0400,01,06,04,0.0,10.07
20060106:0500,01,06,05,12.0,10.71
20060106:0600,01,06,06,147.0,12.32
20060106:0700,01,06,07,341.0,13.11
20060106:0800,01,06,08,486.0,15.69
20060106:0900,01,06,09,583.0,17.28
20060106:1000,01,06,10,634.0,18.83
20060106:1100,01,06,11,593.0,19.82
20060106:1200,01,06,12,492.0,20.52
20060106:1300,01,06,13,333.0,20.72
20060106:1400,01,06,14,116.0,20.36
20060106:1500,01,06,15,0.0,19.18
20060106:1600,01,06,16,0.0,17.7
20060106:1700,01,06,17,0.0,16.63
20060106:1800,01,06,18,0.0,15.56
20060106:1900,01,06,19,0.0,14.55
20060106:2000,01,06,20,0.0,13.52
20060106:2100,01,06,21,0.0,12.53
20060106:2200,01,06,22,0.0,11.63
20060106:2300,01,06,23,0.0,10.53
20060107:0000,01,07,00,0.0,10.18
20060107:0100,01,07,01,0.0,10.97
20060107:0200,01,07,02,0.0,10.86
20060107:0300,01,07,03,0.0,10.35
20060107:0400,01,07,04,0.0,9.56
20060107:0500,01,07,05,12.0,8.94
20060107:0600,01,07,06,150.0,9.6
20060107:0700,01,07,07,354.0,13.16
20060107:0800,01,07,08,477.0,15.9
20060107:0900,01,07,09,607.0,17.6
20060107:1000,01,07,10,644.0,18.74
20060107:1100,01,07,11,571.0,19.39
20060107:1200,01,07,12,344.0,19.66
20060107:1300,01,07,13,234.0,19.65
20060107:1400,01,07,14,96.0,19.19
20060107:1500,01,07,15,0.0,18.21
20060107:1600,01,07,16,0.0,16.72
20060107:1700,01,07,17,0.0,15.6
20060107:1800,01,07,18,0.0,14.63
20060107:1900,01,07,19,0.0,13.6
20060107:2000,01,07,20,0.0,12.58
20060107:2100,01,07,21,0.0,11.51
20060107:2200,01,07,22,0.0,10.95
20060107:2300,01,07,23,0.0,10.71
20060108:0000,01,08,00,0.0,10.21
20060108:0100,01,08,01,0.0,9.56
20060108:0200,01,08,02,0.0,8.57
20060108:0300,01,08,03,0.0,7.59
20060108:0400,01,08,04,0.0,7.06
20060108:0500,01,08,05,12.0,6.88
20060108:0600,01,08,06,162.0,8.47
20060108:0700,01,08,07,170.0,11.38
20060108:0800,01,08,08,397.0,14.49
20060108:0900,01,08,09,624.0,16.24
20060108:1000,01,08,10,373.0,17.25
20060108:1100,01,08,11,544.0,17.93
20060108:1200,01,08,12,469.0,18.09
20060108:1300,01,08,13,342.0,17.85
