Date-hour,Month,Day,Hour,G(h),Temperature
20220101-0000,1,1,0,0,11.21
20220101-0100,1,1,1,0,10.37
20220101-0200,1,1,2,0,9.53
20220101-0300,1,1,3,0,8.69
20220101-0400,1,1,4,0,7.85
20220101-0500,1,1,5,0,7.02
20220101-0600,1,1,6,0,6.18
20220101-0700,1,1,7,0,5.34
20220101-0800,1,1,8,305.41,7.47
20220101-0900,1,1,9,729.55,9.92
20220101-1000,1,1,10,622.24,13.7
20220101-1100,1,1,11,707.66,16.36
20220101-1200,1,1,12,891.53,17.99
20220101-1300,1,1,13,862.1,18.85
20220101-1400,1,1,14,819.44,19.35
20220101-1500,1,1,15,658.14,19.31
20220101-1600,1,1,16,483.74,18.74
20220101-1700,1,1,17,0,15.89
20220101-1800,1,1,18,0,13.48
20220101-1900,1,1,19,0,11.68
20220101-2000,1,1,20,0,10.23
20220101-2100,1,1,21,0,9.58
20220101-2200,1,1,22,0,9.08
20220101-2300,1,1,23,0,8.82
20220102-0000,1,2,0,0,8.49
20220102-0100,1,2,1,0,8.11
20220102-0200,1,2,2,0,7.8
20220102-0300,1,2,3,0,7.68
20220102-0400,1,2,4,0,7.44
20220102-0500,1,2,5,0,7.29
20220102-0600,1,2,6,0,7.02
20220102-0700,1,2,7,0,7.12
20220102-0800,1,2,8,242.92,8.01
20220102-0900,1,2,9,80.58,11.02
20220102-1000,1,2,10,214.05,13.83
20220102-1100,1,2,11,295.33,15.9
20220102-1200,1,2,12,533.8,17.21
20220102-1300,1,2,13,190.34,17.94
20220102-1400,1,2,14,216.06,18.53
20220102-1500,1,2,15,648.3,18.36
20220102-1600,1,2,16,349.07,17.3
20220102-1700,1,2,17,0,15.37
20220102-1800,1,2,18,0,12.72
20220102-1900,1,2,19,0,12.38
20220102-2000,1,2,20,0,11.38
20220102-2100,1,2,21,0,10.15
20220102-2200,1,2,22,0,9.45
20220102-2300,1,2,23,0,9.19
20220103-0000,1,3,0,0,8.79
20220103-0100,1,3,1,0,8.36
20220103-0200,1,3,2,0,7.57
20220103-0300,1,3,3,0,7.37
20220103-0400,1,3,4,0,7.33
20220103-0500,1,3,5,0,7.04
20220103-0600,1,3,6,0,6.95
20220103-0700,1,3,7,0,7.01
20220103-0800,1,3,8,336.89,7.71
20220103-0900,1,3,9,654.82,10.05
20220103-1000,1,3,10,737.36,12.9
20220103-1100,1,3,11,775.28,14.95
20220103-1200,1,3,12,784.43,15.99
20220103-1300,1,3,13,798.87,16.7
20220103-1400,1,3,14,764.15,17.38
20220103-1500,1,3,15,598.51,17.95
20220103-1600,1,3,16,460.95,17.99
20220103-1700,1,3,17,0,14.56
20220103-1800,1,3,18,0,13.42
20220103-1900,1,3,19,0,13.06
20220103-2000,1,3,20,0,12.95
20220103-2100,1,3,21,0,12.64
20220103-2200,1,3,22,0,12.34
20220103-2300,1,3,23,0,12.56
20220104-0000,1,4,0,0,12.61
20220104-0100,1,4,1,0,12.66
20220104-0200,1,4,2,0,12.46
20220104-0300,1,4,3,0,12.34
20220104-0400,1,4,4,0,12.33
20220104-0500,1,4,5,0,12.14
20220104-0600,1,4,6,0,11.91
20220104-0700,1,4,7,0,11.61
20220104-0800,1,4,8,414.82,11.82
20220104-0900,1,4,9,708.5,14.13
20220104-1000,1,4,10,800.76,16.54
20220104-1100,1,4,11,773.21,19.37
20220104-1200,1,4,12,914.92,20.54
20220104-1300,1,4,13,838.13,21.11
20220104-1400,1,4,14,797.49,21.46
20220104-1500,1,4,15,588.93,21.13
20220104-1600,1,4,16,479.13,19.59
20220104-1700,1,4,17,0,17.08
20220104-1800,1,4,18,0,15.63
20220104-1900,1,4,19,0,15.4
20220104-2000,1,4,20,0,16.16
20220104-2100,1,4,21,0,14.98
20220104-2200,1,4,22,0,13.93
20220104-2300,1,4,23,0,12.89
20220105-0000,1,5,0,0,12.35
20220105-0100,1,5,1,0,12.0
20220105-0200,1,5,2,0,11.85
20220105-0300,1,5,3,0,11.61
20220105-0400,1,5,4,0,11.5
20220105-0500,1,5,5,0,11.12
20220105-0600,1,5,6,0,10.66
20220105-0700,1,5,7,0,10.35
20220105-0800,1,5,8,507.79,10.18
20220105-0900,1,5,9,750.75,10.95
20220105-1000,1,5,10,829.92,11.98
20220105-1100,1,5,11,843.63,12.78
20220105-1200,1,5,12,930.61,13.47
20220105-1300,1,5,13,838.81,14.09
20220105-1400,1,5,14,803.34,14.23
20220105-1500,1,5,15,626.31,14.16
20220105-1600,1,5,16,9.54,13.61
20220105-1700,1,5,17,0,11.99
20220105-1800,1,5,18,0,11.85
20220105-1900,1,5,19,0,11.73
20220105-2000,1,5,20,0,11.71
20220105-2100,1,5,21,0,11.22
20220105-2200,1,5,22,0,10.37
20220105-2300,1,5,23,0,9.85
20220106-0000,1,6,0,0,9.2
20220106-0100,1,6,1,0,8.43
20220106-0200,1,6,2,0,7.76
20220106-0300,1,6,3,0,7.58
20220106-0400,1,6,4,0,6.97
20220106-0500,1,6,5,0,6.47
20220106-0600,1,6,6,0,6.1
20220106-0700,1,6,7,0,5.65
20220106-0800,1,6,8,522.0,5.72
20220106-0900,1,6,9,756.15,7.88
20220106-1000,1,6,10,835.4,9.45
20220106-1100,1,6,11,867.31,10.3
20220106-1200,1,6,12,950.16,10.92
20220106-1300,1,6,13,861.56,11.35
20220106-1400,1,6,14,824.93,11.8
20220106-1500,1,6,15,720.88,11.85
20220106-1600,1,6,16,539.74,11.19
20220106-1700,1,6,17,0,9.63
20220106-1800,1,6,18,0,7.57
20220106-1900,1,6,19,0,6.28
20220106-2000,1,6,20,0,5.77
20220106-2100,1,6,21,0,5.28
20220106-2200,1,6,22,0,4.8
20220106-2300,1,6,23,0,4.76
20220107-0000,1,7,0,0,4.41
20220107-0100,1,7,1,0,4.18
20220107-0200,1,7,2,0,4.23
20220107-0300,1,7,3,0,4.0
20220107-0400,1,7,4,0,3.99
20220107-0500,1,7,5,0,3.77
20220107-0600,1,7,6,0,3.63
20220107-0700,1,7,7,0,3.35
20220107-0800,1,7,8,504.63,3.98
20220107-0900,1,7,9,746.71,6.85
20220107-1000,1,7,10,781.31,9.83
20220107-1100,1,7,11,877.49,11.98
20220107-1200,1,7,12,950.54,13.43
20220107-1300,1,7,13,861.74,14.35
20220107-1400,1,7,14,785.04,14.82
20220107-1500,1,7,15,751.94,15.18
20220107-1600,1,7,16,535.54,14.41
20220107-1700,1,7,17,0,11.57
20220107-1800,1,7,18,0,11.23
20220107-1900,1,7,19,0,11.38
20220107-2000,1,7,20,0,10.76
20220107-2100,1,7,21,0,9.86
20220107-2200,1,7,22,0,8.62
20220107-2300,1,7,23,0,8.63
20220108-0000,1,8,0,0,7.83
20220108-0100,1,8,1,0,7.31
20220108-0200,1,8,2,0,7.04
20220108-0300,1,8,3,0,7.02
20220108-0400,1,8,4,0,6.8
20220108-0500,1,8,5,0,6.6
20220108-0600,1,8,6,0,6.51
20220108-0700,1,8,7,0,6.38
20220108-0800,1,8,8,541.08,7.01
20220108-0900,1,8,9,765.93,9.24
20220108-1000,1,8,10,794.14,12.13
20220108-1100,1,8,11,835.06,13.62
20220108-1200,1,8,12,640.74,14.6
20220108-1300,1,8,13,859.52,15.38
20220108-1400,1,8,14,671.72,15.85
20220108-1500,1,8,15,725.17,15.81
20220108-1600,1,8,16,371.82,15.05
20220108-1700,1,8,17,0,13.56
20220108-1800,1,8,18,0,12.66
20220108-1900,1,8,19,0,11.9
20220108-2000,1,8,20,0,11.21
20220108-2100,1,8,21,0,10.62
20220108-2200,1,8,22,0,10.29
20220108-2300,1,8,23,0,10.28
20220109-0000,1,9,0,0,10.89
20220109-0100,1,9,1,0,11.24
20220109-0200,1,9,2,0,11.29
20220109-0300,1,9,3,0,11.29
20220109-0400,1,9,4,0,11.26
20220109-0500,1,9,5,0,11.0
20220109-0600,1,9,6,0,10.64
20220109-0700,1,9,7,0,10.72
20220109-0800,1,9,8,292.21,10.94
20220109-0900,1,9,9,118.79,11.65
20220109-1000,1,9,10,0.0,12.49
20220109-1100,1,9,11,280.18,14.02
20220109-1200,1,9,12,633.77,15.15
20220109-1300,1,9,13,659.84,16.28
20220109-1400,1,9,14,515.32,17.08
20220109-1500,1,9,15,439.53,17.43
20220109-1600,1,9,16,345.37,17.26
20220109-1700,1,9,17,0,16.44
20220109-1800,1,9,18,0,15.75
20220109-1900,1,9,19,0,15.45
20220109-2000,1,9,20,0,15.21
20220109-2100,1,9,21,0,14.83
20220109-2200,1,9,22,0,15.1
20220109-2300,1,9,23,0,15.04
20220110-0000,1,10,0,0,14.91
20220110-0100,1,10,1,0,14.79
20220110-0200,1,10,2,0,14.92
20220110-0300,1,10,3,0,14.97
20220110-0400,1,10,4,0,15.07
20220110-0500,1,10,5,0,15.08
20220110-0600,1,10,6,0,15.05
20220110-0700,1,10,7,0,14.64
20220110-0800,1,10,8,489.21,14.9
20220110-0900,1,10,9,462.46,16.06
20220110-1000,1,10,10,721.92,17.01
20220110-1100,1,10,11,832.78,18.01
20220110-1200,1,10,12,346.35,18.64
20220110-1300,1,10,13,250.71,19.46
20220110-1400,1,10,14,672.66,20.05
20220110-1500,1,10,15,698.66,20.14
20220110-1600,1,10,16,496.84,19.72
20220110-1700,1,10,17,0,18.12
20220110-1800,1,10,18,0,17.0
20220110-1900,1,10,19,0,16.22
20220110-2000,1,10,20,0,14.7
20220110-2100,1,10,21,0,13.68
20220110-2200,1,10,22,0,12.39
20220110-2300,1,10,23,0,12.1
20220111-0000,1,11,0,0,11.9
20220111-0100,1,11,1,0,11.68
20220111-0200,1,11,2,0,11.14
20220111-0300,1,11,3,0,11.09
20220111-0400,1,11,4,0,10.68
20220111-0500,1,11,5,0,10.57
20220111-0600,1,11,6,0,10.01
20220111-0700,1,11,7,0,10.06
20220111-0800,1,11,8,15.18,9.98
20220111-0900,1,11,9,3.57,10.64
20220111-1000,1,11,10,2.54,11.6
20220111-1100,1,11,11,6.46,12.26
20220111-1200,1,11,12,6.16,12.7
20220111-1300,1,11,13,589.6,12.69
20220111-1400,1,11,14,706.4,13.27
20220111-1500,1,11,15,705.73,13.59
20220111-1600,1,11,16,509.22,13.59
20220111-1700,1,11,17,0,12.02
20220111-1800,1,11,18,0,11.66
20220111-1900,1,11,19,0,10.1
20220111-2000,1,11,20,0,8.75
20220111-2100,1,11,21,0,7.7
20220111-2200,1,11,22,0,7.25
20220111-2300,1,11,23,0,6.96
20220112-0000,1,12,0,0,6.8
20220112-0100,1,12,1,0,6.7
20220112-0200,1,12,2,0,6.47
20220112-0300,1,12,3,0,6.47
20220112-0400,1,12,4,0,7.05
20220112-0500,1,12,5,0,7.54
20220112-0600,1,12,6,0,7.4
20220112-0700,1,12,7,0,7.19
20220112-0800,1,12,8,459.66,7.64
20220112-0900,1,12,9,95.9,9.28
20220112-1000,1,12,10,657.63,11.57
20220112-1100,1,12,11,853.34,12.9
20220112-1200,1,12,12,461.38,13.18
20220112-1300,1,12,13,803.8,13.19
20220112-1400,1,12,14,716.46,12.88
20220112-1500,1,12,15,748.8,12.58
20220112-1600,1,12,16,456.64,12.22
20220112-1700,1,12,17,0,10.97
20220112-1800,1,12,18,0,9.55
20220112-1900,1,12,19,0,9.45
20220112-2000,1,12,20,0,9.43
20220112-2100,1,12,21,0,8.44
20220112-2200,1,12,22,0,8.14
20220112-2300,1,12,23,0,7.6
20220113-0000,1,13,0,0,7.77
20220113-0100,1,13,1,0,7.41
20220113-0200,1,13,2,0,7.03
20220113-0300,1,13,3,0,7.07
20220113-0400,1,13,4,0,6.94
20220113-0500,1,13,5,0,7.06
20220113-0600,1,13,6,0,6.8
20220113-0700,1,13,7,0,6.77
20220113-0800,1,13,8,351.24,6.93
20220113-0900,1,13,9,35.33,8.22
20220113-1000,1,13,10,193.86,10.59
20220113-1100,1,13,11,682.87,11.48
20220113-1200,1,13,12,290.43,12.25
20220113-1300,1,13,13,347.0,12.48
20220113-1400,1,13,14,657.65,12.73
20220113-1500,1,13,15,718.83,12.55
20220113-1600,1,13,16,507.96,12.0
20220113-1700,1,13,17,0,10.83
20220113-1800,1,13,18,0,9.27
20220113-1900,1,13,19,0,8.72
20220113-2000,1,13,20,0,8.11
20220113-2100,1,13,21,0,7.7
20220113-2200,1,13,22,0,7.83
20220113-2300,1,13,23,0,6.71
20220114-0000,1,14,0,0,5.78
20220114-0100,1,14,1,0,5.0
20220114-0200,1,14,2,0,5.31
20220114-0300,1,14,3,0,5.09
20220114-0400,1,14,4,0,5.08
20220114-0500,1,14,5,0,4.96
20220114-0600,1,14,6,0,5.16
20220114-0700,1,14,7,0,4.87
20220114-0800,1,14,8,207.37,5.0
20220114-0900,1,14,9,17.57,6.28
20220114-1000,1,14,10,0.0,7.85
20220114-1100,1,14,11,0.0,9.26
20220114-1200,1,14,12,8.08,9.94
20220114-1300,1,14,13,415.1,10.68
20220114-1400,1,14,14,393.03,11.16
20220114-1500,1,14,15,14.21,11.31
20220114-1600,1,14,16,106.74,10.96
20220114-1700,1,14,17,0,10.22
20220114-1800,1,14,18,0,8.64
20220114-1900,1,14,19,0,8.2
20220114-2000,1,14,20,0,7.02
20220114-2100,1,14,21,0,6.54
20220114-2200,1,14,22,0,6.21
20220114-2300,1,14,23,0,5.7
20220115-0000,1,15,0,0,5.49
20220115-0100,1,15,1,0,5.24
20220115-0200,1,15,2,0,5.09
20220115-0300,1,15,3,0,4.54
20220115-0400,1,15,4,0,3.87
20220115-0500,1,15,5,0,3.49
20220115-0600,1,15,6,0,3.09
20220115-0700,1,15,7,0,3.04
20220115-0800,1,15,8,528.09,3.77
20220115-0900,1,15,9,719.63,6.54
20220115-1000,1,15,10,747.75,9.28
20220115-1100,1,15,11,923.23,11.27
20220115-1200,1,15,12,924.17,12.71
20220115-1300,1,15,13,860.89,13.63
20220115-1400,1,15,14,757.31,14.2
20220115-1500,1,15,15,765.72,14.41
20220115-1600,1,15,16,587.67,13.83
20220115-1700,1,15,17,0,10.44
20220115-1800,1,15,18,0,9.02
20220115-1900,1,15,19,0,7.77
20220115-2000,1,15,20,0,6.69
20220115-2100,1,15,21,0,5.76
20220115-2200,1,15,22,0,5.7
20220115-2300,1,15,23,0,5.64
20220116-0000,1,16,0,0,5.35
20220116-0100,1,16,1,0,4.93
20220116-0200,1,16,2,0,4.41
20220116-0300,1,16,3,0,3.88
20220116-0400,1,16,4,0,3.79
20220116-0500,1,16,5,0,3.29
20220116-0600,1,16,6,0,3.12
20220116-0700,1,16,7,0,2.85
20220116-0800,1,16,8,566.18,3.66
20220116-0900,1,16,9,739.46,6.19
20220116-1000,1,16,10,778.45,9.16
20220116-1100,1,16,11,954.08,11.1
20220116-1200,1,16,12,928.93,12.48
20220116-1300,1,16,13,888.94,13.38
20220116-1400,1,16,14,820.62,13.69
20220116-1500,1,16,15,805.45,13.56
20220116-1600,1,16,16,617.04,13.01
20220116-1700,1,16,17,0,10.02
20220116-1800,1,16,18,0,9.52
20220116-1900,1,16,19,0,8.05
20220116-2000,1,16,20,0,7.09
20220116-2100,1,16,21,0,6.3
20220116-2200,1,16,22,0,5.12
20220116-2300,1,16,23,0,4.22
20220117-0000,1,17,0,0,3.96
20220117-0100,1,17,1,0,3.69
20220117-0200,1,17,2,0,3.3
20220117-0300,1,17,3,0,2.95
20220117-0400,1,17,4,0,2.6
20220117-0500,1,17,5,0,2.33
20220117-0600,1,17,6,0,2.11
20220117-0700,1,17,7,0,1.78
20220117-0800,1,17,8,552.77,2.75
20220117-0900,1,17,9,751.87,6.17
20220117-1000,1,17,10,860.39,9.07
20220117-1100,1,17,11,927.96,11.05
20220117-1200,1,17,12,891.76,12.73
20220117-1300,1,17,13,816.25,13.71
20220117-1400,1,17,14,821.26,14.24
20220117-1500,1,17,15,775.45,13.98
20220117-1600,1,17,16,566.83,13.27
20220117-1700,1,17,17,0,9.73
20220117-1800,1,17,18,0,9.24
20220117-1900,1,17,19,0,6.32
20220117-2000,1,17,20,0,5.85
20220117-2100,1,17,21,0,5.06
20220117-2200,1,17,22,0,4.3
20220117-2300,1,17,23,0,3.57
20220118-0000,1,18,0,0,3.23
20220118-0100,1,18,1,0,2.93
20220118-0200,1,18,2,0,3.04
20220118-0300,1,18,3,0,2.47
20220118-0400,1,18,4,0,2.3
20220118-0500,1,18,5,0,1.5
20220118-0600,1,18,6,0,1.28
20220118-0700,1,18,7,0,1.17
20220118-0800,1,18,8,574.73,1.63
20220118-0900,1,18,9,760.42,4.68
20220118-1000,1,18,10,857.85,7.65
20220118-1100,1,18,11,937.27,11.21
20220118-1200,1,18,12,912.11,12.89
20220118-1300,1,18,13,870.88,13.98
20220118-1400,1,18,14,877.84,14.61
20220118-1500,1,18,15,830.74,14.4
20220118-1600,1,18,16,622.51,13.96
20220118-1700,1,18,17,0,10.86
20220118-1800,1,18,18,0,10.87
20220118-1900,1,18,19,0,7.93
20220118-2000,1,18,20,0,6.93
20220118-2100,1,18,21,0,6.11
20220118-2200,1,18,22,0,5.03
20220118-2300,1,18,23,0,4.46
20220119-0000,1,19,0,0,4.31
20220119-0100,1,19,1,0,3.99
20220119-0200,1,19,2,0,3.94
20220119-0300,1,19,3,0,3.61
20220119-0400,1,19,4,0,3.75
20220119-0500,1,19,5,0,3.88
20220119-0600,1,19,6,0,4.1
20220119-0700,1,19,7,0,4.29
20220119-0800,1,19,8,266.33,4.81
20220119-0900,1,19,9,57.81,6.45
20220119-1000,1,19,10,36.54,8.51
20220119-1100,1,19,11,80.58,10.27
20220119-1200,1,19,12,718.18,11.46
20220119-1300,1,19,13,794.88,12.13
20220119-1400,1,19,14,817.26,12.86
20220119-1500,1,19,15,794.1,12.99
20220119-1600,1,19,16,594.32,12.62
20220119-1700,1,19,17,0,9.92
20220119-1800,1,19,18,0,9.3
20220119-1900,1,19,19,0,8.04
20220119-2000,1,19,20,0,6.43
20220119-2100,1,19,21,0,5.81
20220119-2200,1,19,22,0,5.57
20220119-2300,1,19,23,0,4.69
20220120-0000,1,20,0,0,4.28
20220120-0100,1,20,1,0,3.85
20220120-0200,1,20,2,0,3.72
20220120-0300,1,20,3,0,3.48
20220120-0400,1,20,4,0,3.4
20220120-0500,1,20,5,0,3.32
20220120-0600,1,20,6,0,2.81
20220120-0700,1,20,7,0,2.53
20220120-0800,1,20,8,512.01,3.01
20220120-0900,1,20,9,74.26,5.19
20220120-1000,1,20,10,7.26,8.26
20220120-1100,1,20,11,43.13,10.16
20220120-1200,1,20,12,25.35,11.24
20220120-1300,1,20,13,22.49,12.06
20220120-1400,1,20,14,537.0,12.27
20220120-1500,1,20,15,297.97,12.25
20220120-1600,1,20,16,112.13,11.97
20220120-1700,1,20,17,0,9.85
20220120-1800,1,20,18,0,9.02
20220120-1900,1,20,19,0,8.02
20220120-2000,1,20,20,0,6.82
20220120-2100,1,20,21,0,5.84
20220120-2200,1,20,22,0,5.33
20220120-2300,1,20,23,0,5.0
20220121-0000,1,21,0,0,4.75
20220121-0100,1,21,1,0,4.18
20220121-0200,1,21,2,0,3.82
20220121-0300,1,21,3,0,3.57
20220121-0400,1,21,4,0,3.63
20220121-0500,1,21,5,0,3.15
20220121-0600,1,21,6,0,2.92
20220121-0700,1,21,7,0,2.81
20220121-0800,1,21,8,546.15,3.42
20220121-0900,1,21,9,733.49,6.57
20220121-1000,1,21,10,832.31,9.32
20220121-1100,1,21,11,887.93,11.04
20220121-1200,1,21,12,844.8,11.95
20220121-1300,1,21,13,785.77,12.34
20220121-1400,1,21,14,808.08,12.64
20220121-1500,1,21,15,765.45,12.63
20220121-1600,1,21,16,225.5,12.03
20220121-1700,1,21,17,0,10.88
20220121-1800,1,21,18,0,9.11
20220121-1900,1,21,19,0,8.89
20220121-2000,1,21,20,0,9.74
20220121-2100,1,21,21,0,9.23
20220121-2200,1,21,22,0,7.89
20220121-2300,1,21,23,0,7.82
20220122-0000,1,22,0,0,7.81
20220122-0100,1,22,1,0,7.28
20220122-0200,1,22,2,0,7.08
20220122-0300,1,22,3,0,6.88
20220122-0400,1,22,4,0,6.44
20220122-0500,1,22,5,0,6.61
20220122-0600,1,22,6,0,6.61
20220122-0700,1,22,7,0,6.59
20220122-0800,1,22,8,40.39,6.81
20220122-0900,1,22,9,112.96,7.91
20220122-1000,1,22,10,817.25,9.15
20220122-1100,1,22,11,695.75,10.22
20220122-1200,1,22,12,841.25,10.62
20220122-1300,1,22,13,641.03,10.88
20220122-1400,1,22,14,65.97,10.93
20220122-1500,1,22,15,103.42,11.11
20220122-1600,1,22,16,125.9,10.89
20220122-1700,1,22,17,0,10.35
20220122-1800,1,22,18,0,9.7
20220122-1900,1,22,19,0,9.33
20220122-2000,1,22,20,0,9.0
20220122-2100,1,22,21,0,8.44
20220122-2200,1,22,22,0,7.81
20220122-2300,1,22,23,0,7.81
20220123-0000,1,23,0,0,7.45
20220123-0100,1,23,1,0,7.4
20220123-0200,1,23,2,0,7.12
20220123-0300,1,23,3,0,6.9
20220123-0400,1,23,4,0,6.73
20220123-0500,1,23,5,0,6.9
20220123-0600,1,23,6,0,6.66
20220123-0700,1,23,7,0,6.7
20220123-0800,1,23,8,0.0,6.9
20220123-0900,1,23,9,9.88,8.06
20220123-1000,1,23,10,0.0,8.51
20220123-1100,1,23,11,0.0,9.2
20220123-1200,1,23,12,0.0,9.65
20220123-1300,1,23,13,254.14,10.05
20220123-1400,1,23,14,686.62,9.94
20220123-1500,1,23,15,38.32,9.87
20220123-1600,1,23,16,30.76,9.87
20220123-1700,1,23,17,0,9.59
20220123-1800,1,23,18,0,9.33
20220123-1900,1,23,19,0,9.0
20220123-2000,1,23,20,0,8.25
20220123-2100,1,23,21,0,7.98
20220123-2200,1,23,22,0,7.54
20220123-2300,1,23,23,0,7.24
20220124-0000,1,24,0,0,6.97
20220124-0100,1,24,1,0,6.55
20220124-0200,1,24,2,0,6.5
20220124-0300,1,24,3,0,6.3
20220124-0400,1,24,4,0,6.45
20220124-0500,1,24,5,0,6.37
20220124-0600,1,24,6,0,6.46
20220124-0700,1,24,7,0,6.55
20220124-0800,1,24,8,228.82,7.19
20220124-0900,1,24,9,6.53,7.99
20220124-1000,1,24,10,0.0,8.89
20220124-1100,1,24,11,4.0,9.74
20220124-1200,1,24,12,0.0,10.44
20220124-1300,1,24,13,1.99,10.81
20220124-1400,1,24,14,6.94,10.98
20220124-1500,1,24,15,37.86,11.24
20220124-1600,1,24,16,138.33,11.03
20220124-1700,1,24,17,0,10.76
20220124-1800,1,24,18,0,10.31
20220124-1900,1,24,19,0,10.22
20220124-2000,1,24,20,0,10.17
20220124-2100,1,24,21,0,10.17
20220124-2200,1,24,22,0,9.56
20220124-2300,1,24,23,0,9.05
20220125-0000,1,25,0,0,9.13
20220125-0100,1,25,1,0,8.93
20220125-0200,1,25,2,0,8.43
20220125-0300,1,25,3,0,8.71
20220125-0400,1,25,4,0,8.37
20220125-0500,1,25,5,0,8.21
20220125-0600,1,25,6,0,8.57
20220125-0700,1,25,7,0,8.67
20220125-0800,1,25,8,212.47,9.19
20220125-0900,1,25,9,450.08,10.29
20220125-1000,1,25,10,599.03,11.35
20220125-1100,1,25,11,698.08,12.15
20220125-1200,1,25,12,586.74,12.97
20220125-1300,1,25,13,565.84,12.88
20220125-1400,1,25,14,761.71,13.06
20220125-1500,1,25,15,738.63,12.81
20220125-1600,1,25,16,570.42,12.34
20220125-1700,1,25,17,0,11.66
20220125-1800,1,25,18,0,10.34
20220125-1900,1,25,19,0,9.9
20220125-2000,1,25,20,0,9.24
20220125-2100,1,25,21,0,9.0
20220125-2200,1,25,22,0,7.78
20220125-2300,1,25,23,0,7.34
20220126-0000,1,26,0,0,7.06
20220126-0100,1,26,1,0,7.43
20220126-0200,1,26,2,0,7.29
20220126-0300,1,26,3,0,7.16
20220126-0400,1,26,4,0,6.99
20220126-0500,1,26,5,0,6.81
20220126-0600,1,26,6,0,6.95
20220126-0700,1,26,7,0,6.81
20220126-0800,1,26,8,285.2,7.39
20220126-0900,1,26,9,587.2,8.8
20220126-1000,1,26,10,710.8,10.19
20220126-1100,1,26,11,689.38,11.29
20220126-1200,1,26,12,741.96,12.07
20220126-1300,1,26,13,747.47,12.84
20220126-1400,1,26,14,509.34,12.72
20220126-1500,1,26,15,458.78,12.64
20220126-1600,1,26,16,621.18,12.21
20220126-1700,1,26,17,0,11.11
20220126-1800,1,26,18,0,10.02
20220126-1900,1,26,19,0,9.69
20220126-2000,1,26,20,0,9.58
20220126-2100,1,26,21,0,8.68
20220126-2200,1,26,22,0,7.4
20220126-2300,1,26,23,0,6.8
20220127-0000,1,27,0,0,7.21
20220127-0100,1,27,1,0,6.64
20220127-0200,1,27,2,0,5.91
20220127-0300,1,27,3,0,5.65
20220127-0400,1,27,4,0,5.19
20220127-0500,1,27,5,0,5.2
20220127-0600,1,27,6,0,4.61
20220127-0700,1,27,7,0,4.35
20220127-0800,1,27,8,592.48,5.22
20220127-0900,1,27,9,756.63,7.75
20220127-1000,1,27,10,853.05,9.38
20220127-1100,1,27,11,918.06,11.57
20220127-1200,1,27,12,880.04,12.71
20220127-1300,1,27,13,852.49,13.5
20220127-1400,1,27,14,845.04,14.18
20220127-1500,1,27,15,796.99,14.17
20220127-1600,1,27,16,618.98,13.59
20220127-1700,1,27,17,0.0,11.01
20220127-1800,1,27,18,0,10.76
20220127-1900,1,27,19,0,9.85
20220127-2000,1,27,20,0,7.8
20220127-2100,1,27,21,0,6.57
20220127-2200,1,27,22,0,6.25
20220127-2300,1,27,23,0,5.58
20220128-0000,1,28,0,0,4.99
20220128-0100,1,28,1,0,4.55
20220128-0200,1,28,2,0,4.34
20220128-0300,1,28,3,0,4.22
20220128-0400,1,28,4,0,4.09
20220128-0500,1,28,5,0,3.83
20220128-0600,1,28,6,0,3.58
20220128-0700,1,28,7,0,3.32
20220128-0800,1,28,8,656.42,4.4
20220128-0900,1,28,9,780.96,7.73
20220128-1000,1,28,10,887.75,11.1
20220128-1100,1,28,11,940.83,13.36
