Date-hour,Month,Day,Hour,G(h),Temperature
20140101:0000,01,01,00,2.15,14.06
20140101:0100,01,01,01,0.0,13.78
20140101:0200,01,01,02,0.0,13.51
20140101:0300,01,01,03,0.0,13.23
20140101:0400,01,01,04,0.0,12.95
20140101:0500,01,01,05,0.0,12.68
20140101:0600,01,01,06,0.0,12.4
20140101:0700,01,01,07,0.0,12.12
20140101:0800,01,01,08,0.0,11.64
20140101:0900,01,01,09,0.0,11.66
20140101:1000,01,01,10,0.0,11.23
20140101:1100,01,01,11,0.0,10.92
20140101:1200,01,01,12,0.0,10.87
20140101:1300,01,01,13,0.0,10.47
20140101:1400,01,01,14,99.15,10.38
20140101:1500,01,01,15,249.0,12.63
20140101:1600,01,01,16,342.9,14.56
20140101:1700,01,01,17,470.25,15.62
20140101:1800,01,01,18,355.35,16.88
20140101:1900,01,01,19,395.8,16.72
20140101:2000,01,01,20,430.7,17.5
20140101:2100,01,01,21,318.4,18.23
20140101:2200,01,01,22,196.45,18.36
20140101:2300,01,01,23,76.7,18.24
20140102:0000,01,02,00,4.6,17.62
20140102:0100,01,02,01,0.0,16.22
20140102:0200,01,02,02,0.0,15.21
20140102:0300,01,02,03,0.0,14.81
20140102:0400,01,02,04,0.0,14.66
20140102:0500,01,02,05,0.0,14.54
20140102:0600,01,02,06,0.0,14.07
20140102:0700,01,02,07,0.0,14.06
20140102:0800,01,02,08,0.0,13.61
20140102:0900,01,02,09,0.0,13.31
20140102:1000,01,02,10,0.0,12.8
20140102:1100,01,02,11,0.0,12.28
20140102:1200,01,02,12,0.0,11.24
20140102:1300,01,02,13,0.0,9.86
20140102:1400,01,02,14,136.65,9.48
20140102:1500,01,02,15,335.5,11.79
20140102:1600,01,02,16,530.9,15.52
20140102:1700,01,02,17,667.45,17.98
20140102:1800,01,02,18,625.85,19.38
20140102:1900,01,02,19,661.4,19.99
20140102:2000,01,02,20,549.9,20.62
20140102:2100,01,02,21,463.45,20.81
20140102:2200,01,02,22,325.85,20.95
20140102:2300,01,02,23,120.35,20.9
20140103:0000,01,03,00,6.55,19.56
20140103:0100,01,03,01,0.0,16.89
20140103:0200,01,03,02,0.0,15.38
20140103:0300,01,03,03,0.0,14.32
20140103:0400,01,03,04,0.0,13.6
20140103:0500,01,03,05,0.0,13.43
20140103:0600,01,03,06,0.0,12.88
20140103:0700,01,03,07,0.0,11.94
20140103:0800,01,03,08,0.0,11.21
20140103:0900,01,03,09,0.0,10.45
20140103:1000,01,03,10,0.0,9.89
20140103:1100,01,03,11,0.0,9.15
20140103:1200,01,03,12,0.0,8.51
20140103:1300,01,03,13,0.0,7.88
20140103:1400,01,03,14,164.6,7.59
20140103:1500,01,03,15,380.05,9.73
20140103:1600,01,03,16,576.9,11.6
20140103:1700,01,03,17,715.4,13.57
20140103:1800,01,03,18,788.4,15.39
20140103:1900,01,03,19,763.35,16.88
20140103:2000,01,03,20,675.85,18.05
20140103:2100,01,03,21,538.5,18.8
20140103:2200,01,03,22,331.6,19.1
20140103:2300,01,03,23,136.2,18.93
20140104:0000,01,04,00,7.2,17.77
20140104:0100,01,04,01,0.0,16.72
20140104:0200,01,04,02,0.0,15.81
20140104:0300,01,04,03,0.0,15.87
20140104:0400,01,04,04,0.0,15.24
20140104:0500,01,04,05,0.0,14.51
20140104:0600,01,04,06,0.0,13.8
20140104:0700,01,04,07,0.0,13.36
20140104:0800,01,04,08,0.0,12.86
20140104:0900,01,04,09,0.0,12.4
20140104:1000,01,04,10,0.0,11.91
20140104:1100,01,04,11,0.0,11.44
20140104:1200,01,04,12,0.0,11.17
20140104:1300,01,04,13,0.0,10.78
20140104:1400,01,04,14,166.45,10.49
20140104:1500,01,04,15,384.45,12.61
20140104:1600,01,04,16,564.6,16.01
20140104:1700,01,04,17,711.8,18.31
20140104:1800,01,04,18,761.4,19.97
20140104:1900,01,04,19,710.8,20.91
20140104:2000,01,04,20,538.6,21.67
20140104:2100,01,04,21,418.9,21.73
20140104:2200,01,04,22,319.15,21.67
20140104:2300,01,04,23,128.5,21.42
20140105:0000,01,05,00,8.15,20.3
20140105:0100,01,05,01,0.0,18.74
20140105:0200,01,05,02,0.0,18.36
20140105:0300,01,05,03,0.0,17.37
20140105:0400,01,05,04,0.0,16.46
20140105:0500,01,05,05,0.0,15.65
20140105:0600,01,05,06,0.0,14.85
20140105:0700,01,05,07,0.0,13.87
20140105:0800,01,05,08,0.0,14.0
20140105:0900,01,05,09,0.0,13.58
20140105:1000,01,05,10,0.0,13.17
20140105:1100,01,05,11,0.0,12.89
20140105:1200,01,05,12,0.0,12.37
20140105:1300,01,05,13,0.0,11.8
20140105:1400,01,05,14,165.5,11.15
20140105:1500,01,05,15,385.0,13.08
20140105:1600,01,05,16,576.15,16.27
20140105:1700,01,05,17,716.3,18.49
20140105:1800,01,05,18,769.15,20.11
20140105:1900,01,05,19,753.2,21.01
20140105:2000,01,05,20,677.45,21.7
20140105:2100,01,05,21,526.25,22.17
20140105:2200,01,05,22,360.0,22.23
20140105:2300,01,05,23,136.35,21.88
20140106:0000,01,06,00,8.55,20.98
20140106:0100,01,06,01,0.0,19.21
20140106:0200,01,06,02,0.0,18.92
20140106:0300,01,06,03,0.0,18.0
20140106:0400,01,06,04,0.0,17.13
20140106:0500,01,06,05,0.0,16.26
20140106:0600,01,06,06,0.0,15.36
20140106:0700,01,06,07,0.0,14.62
20140106:0800,01,06,08,0.0,14.2
20140106:0900,01,06,09,0.0,13.72
20140106:1000,01,06,10,0.0,13.26
20140106:1100,01,06,11,0.0,12.25
20140106:1200,01,06,12,0.0,11.52
20140106:1300,01,06,13,0.0,11.45
20140106:1400,01,06,14,103.65,11.26
20140106:1500,01,06,15,260.4,13.23
20140106:1600,01,06,16,425.85,16.24
20140106:1700,01,06,17,531.6,18.29
20140106:1800,01,06,18,406.35,19.12
20140106:1900,01,06,19,462.75,20.21
20140106:2000,01,06,20,500.1,20.55
20140106:2100,01,06,21,408.05,20.38
20140106:2200,01,06,22,238.2,20.11
20140106:2300,01,06,23,62.55,19.52
20140107:0000,01,07,00,6.1,18.22
20140107:0100,01,07,01,0.0,16.44
20140107:0200,01,07,02,0.0,15.07
20140107:0300,01,07,03,0.0,13.83
20140107:0400,01,07,04,0.0,13.58
20140107:0500,01,07,05,0.0,13.16
20140107:0600,01,07,06,0.0,12.74
20140107:0700,01,07,07,0.0,12.73
20140107:0800,01,07,08,0.0,11.94
20140107:0900,01,07,09,0.0,11.0
20140107:1000,01,07,10,0.0,10.39
20140107:1100,01,07,11,0.0,9.68
20140107:1200,01,07,12,0.0,9.18
20140107:1300,01,07,13,0.0,8.81
20140107:1400,01,07,14,140.75,8.56
20140107:1500,01,07,15,360.75,11.35
20140107:1600,01,07,16,548.05,13.71
20140107:1700,01,07,17,640.0,15.72
20140107:1800,01,07,18,720.1,17.28
20140107:1900,01,07,19,711.9,18.57
20140107:2000,01,07,20,578.75,19.53
20140107:2100,01,07,21,523.4,19.99
20140107:2200,01,07,22,300.2,20.33
20140107:2300,01,07,23,128.45,20.14
20140108:0000,01,08,00,8.25,19.42
20140108:0100,01,08,01,0.0,17.77
20140108:0200,01,08,02,0.0,17.74
20140108:0300,01,08,03,0.0,17.07
20140108:0400,01,08,04,0.0,16.12
20140108:0500,01,08,05,0.0,15.31
20140108:0600,01,08,06,0.0,14.73
20140108:0700,01,08,07,0.0,14.15
20140108:0800,01,08,08,0.0,13.54
20140108:0900,01,08,09,0.0,12.91
20140108:1000,01,08,10,0.0,12.49
20140108:1100,01,08,11,0.0,11.73
20140108:1200,01,08,12,0.0,11.2
20140108:1300,01,08,13,0.0,10.46
20140108:1400,01,08,14,163.85,9.83
20140108:1500,01,08,15,381.6,12.94
20140108:1600,01,08,16,578.45,16.23
20140108:1700,01,08,17,705.2,18.44
20140108:1800,01,08,18,751.05,19.81
20140108:1900,01,08,19,718.3,20.49
20140108:2000,01,08,20,656.85,21.08
20140108:2100,01,08,21,495.6,21.61
20140108:2200,01,08,22,279.9,21.56
20140108:2300,01,08,23,133.25,21.14
20140109:0000,01,09,00,10.2,20.34
20140109:0100,01,09,01,0.0,18.28
20140109:0200,01,09,02,0.0,18.07
20140109:0300,01,09,03,0.0,17.28
20140109:0400,01,09,04,0.0,16.33
20140109:0500,01,09,05,0.0,15.43
20140109:0600,01,09,06,0.0,14.73
20140109:0700,01,09,07,0.0,14.4
20140109:0800,01,09,08,0.0,14.0
20140109:0900,01,09,09,0.0,13.43
20140109:1000,01,09,10,0.0,12.89
20140109:1100,01,09,11,0.0,12.37
20140109:1200,01,09,12,0.0,11.98
20140109:1300,01,09,13,0.0,11.67
20140109:1400,01,09,14,165.0,11.25
20140109:1500,01,09,15,388.0,12.99
20140109:1600,01,09,16,584.25,16.36
20140109:1700,01,09,17,727.5,18.65
20140109:1800,01,09,18,806.95,20.2
20140109:1900,01,09,19,802.55,21.19
20140109:2000,01,09,20,722.7,21.98
20140109:2100,01,09,21,592.1,22.52
20140109:2200,01,09,22,394.6,22.8
20140109:2300,01,09,23,169.9,22.49
20140110:0000,01,10,00,11.85,21.17
20140110:0100,01,10,01,0.0,18.26
20140110:0200,01,10,02,0.0,16.7
20140110:0300,01,10,03,0.0,16.04
20140110:0400,01,10,04,0.0,16.37
20140110:0500,01,10,05,0.0,16.98
20140110:0600,01,10,06,0.0,16.21
20140110:0700,01,10,07,0.0,14.99
20140110:0800,01,10,08,0.0,14.29
20140110:0900,01,10,09,0.0,13.68
20140110:1000,01,10,10,0.0,13.06
20140110:1100,01,10,11,0.0,12.51
20140110:1200,01,10,12,0.0,12.01
20140110:1300,01,10,13,0.0,11.56
20140110:1400,01,10,14,167.5,11.24
20140110:1500,01,10,15,390.3,12.82
20140110:1600,01,10,16,589.6,16.78
20140110:1700,01,10,17,730.0,19.4
20140110:1800,01,10,18,784.25,21.0
20140110:1900,01,10,19,764.65,21.92
20140110:2000,01,10,20,682.3,22.68
20140110:2100,01,10,21,374.45,23.23
20140110:2200,01,10,22,308.25,22.78
20140110:2300,01,10,23,113.9,22.23
20140111:0000,01,11,00,9.4,20.41
20140111:0100,01,11,01,0.0,17.99
20140111:0200,01,11,02,0.0,16.59
20140111:0300,01,11,03,0.0,16.12
20140111:0400,01,11,04,0.0,15.89
20140111:0500,01,11,05,0.0,16.01
