Date-hour,Month,Day,Hour,G(h),Temperature
20060101:0000,01,01,00,0.0,17.34
20060101:0100,01,01,01,0.0,17.09
20060101:0200,01,01,02,0.0,16.83
20060101:0300,01,01,03,0.0,16.58
20060101:0400,01,01,04,33.0,16.32
20060101:0500,01,01,05,118.0,16.07
20060101:0600,01,01,06,342.0,15.81
20060101:0700,01,01,07,774.0,15.56
20060101:0800,01,01,08,899.0,19.89
20060101:0900,01,01,09,1019.0,20.97
20060101:1000,01,01,10,1045.0,22.52
20060101:1100,01,01,11,951.0,23.37
20060101:1200,01,01,12,740.0,24.06
20060101:1300,01,01,13,184.0,24.46
20060101:1400,01,01,14,598.0,24.36
20060101:1500,01,01,15,255.0,24.04
20060101:1600,01,01,16,89.0,23.36
20060101:1700,01,01,17,0.0,22.14
20060101:1800,01,01,18,0.0,20.93
20060101:1900,01,01,19,0.0,19.23
20060101:2000,01,01,20,0.0,18.61
20060101:2100,01,01,21,0.0,18.16
20060101:2200,01,01,22,0.0,17.68
20060101:2300,01,01,23,0.0,17.16
20060102:0000,01,02,00,0.0,16.91
20060102:0100,01,02,01,0.0,16.48
20060102:0200,01,02,02,0.0,16.23
20060102:0300,01,02,03,0.0,15.95
20060102:0400,01,02,04,38.0,15.98
20060102:0500,01,02,05,41.0,16.47
20060102:0600,01,02,06,196.0,17.69
20060102:0700,01,02,07,365.0,18.01
20060102:0800,01,02,08,772.0,19.14
20060102:0900,01,02,09,770.0,19.91
20060102:1000,01,02,10,862.0,19.75
20060102:1100,01,02,11,595.0,20.29
20060102:1200,01,02,12,698.0,20.4
20060102:1300,01,02,13,380.0,20.94
20060102:1400,01,02,14,358.0,20.87
20060102:1500,01,02,15,59.0,20.9
20060102:1600,01,02,16,14.0,20.85
20060102:1700,01,02,17,0.0,20.05
20060102:1800,01,02,18,0.0,18.44
20060102:1900,01,02,19,0.0,17.34
20060102:2000,01,02,20,0.0,16.95
20060102:2100,01,02,21,0.0,16.46
