Date-hour,Month,Day,Hour,G(h),Temperature
20100101:0000,01,01,00,0.0,20.63
20100101:0100,01,01,01,0.0,20.43
20100101:0200,01,01,02,0.0,20.24
20100101:0300,01,01,03,0.0,20.04
20100101:0400,01,01,04,0.0,19.84
20100101:0500,01,01,05,0.0,19.65
20100101:0600,01,01,06,0.0,19.45
20100101:0700,01,01,07,0.0,19.26
20100101:0800,01,01,08,0.0,19.25
20100101:0900,01,01,09,0.0,19.13
20100101:1000,01,01,10,0.0,18.98
20100101:1100,01,01,11,32.8,18.93
20100101:1200,01,01,12,233.85,19.3
20100101:1300,01,01,13,347.9,20.18
20100101:1400,01,01,14,626.3,20.87
20100101:1500,01,01,15,712.35,21.71
20100101:1600,01,01,16,883.65,22.48
20100101:1700,01,01,17,880.35,23.17
20100101:1800,01,01,18,884.2,23.65
20100101:1900,01,01,19,819.6,23.13
20100101:2000,01,01,20,617.85,23.0
20100101:2100,01,01,21,421.95,22.64
20100101:2200,01,01,22,171.05,21.87
20100101:2300,01,01,23,17.6,21.13
20100102:0000,01,02,00,0.0,20.42
20100102:0100,01,02,01,0.0,20.21
20100102:0200,01,02,02,0.0,19.86
20100102:0300,01,02,03,0.0,19.6
20100102:0400,01,02,04,0.0,19.37
20100102:0500,01,02,05,0.0,19.05
20100102:0600,01,02,06,0.0,18.9
20100102:0700,01,02,07,0.0,18.9
20100102:0800,01,02,08,0.0,18.81
20100102:0900,01,02,09,0.0,18.64
20100102:1000,01,02,10,0.0,18.62
20100102:1100,01,02,11,41.6,18.72
20100102:1200,01,02,12,192.2,19.1
20100102:1300,01,02,13,351.75,19.72
20100102:1400,01,02,14,508.3,20.55
20100102:1500,01,02,15,749.9,21.32
20100102:1600,01,02,16,799.85,22.11
20100102:1700,01,02,17,837.0,22.61
20100102:1800,01,02,18,886.35,22.65
20100102:1900,01,02,19,752.5,22.97
20100102:2000,01,02,20,561.75,22.59
20100102:2100,01,02,21,373.35,22.13
20100102:2200,01,02,22,149.6,21.63
20100102:2300,01,02,23,12.2,20.99
20100103:0000,01,03,00,0.0,20.63
20100103:0100,01,03,01,0.0,20.42
20100103:0200,01,03,02,0.0,20.03
20100103:0300,01,03,03,0.0,19.97
20100103:0400,01,03,04,0.0,19.84
20100103:0500,01,03,05,0.0,19.6
20100103:0600,01,03,06,0.0,19.41
20100103:0700,01,03,07,0.0,19.26
20100103:0800,01,03,08,0.0,19.02
20100103:0900,01,03,09,0.0,18.97
20100103:1000,01,03,10,0.0,18.78
20100103:1100,01,03,11,42.85,18.65
20100103:1200,01,03,12,211.45,19.08
20100103:1300,01,03,13,443.5,19.91
20100103:1400,01,03,14,673.1,20.98
20100103:1500,01,03,15,827.7,21.98
20100103:1600,01,03,16,968.5,22.8
20100103:1700,01,03,17,989.05,23.6
20100103:1800,01,03,18,908.7,23.65
20100103:1900,01,03,19,766.1,23.07
20100103:2000,01,03,20,547.95,22.72
20100103:2100,01,03,21,354.75,22.04
20100103:2200,01,03,22,161.3,21.36
20100103:2300,01,03,23,19.3,20.92
20100104:0000,01,04,00,0.0,20.21
20100104:0100,01,04,01,0.0,19.98
20100104:0200,01,04,02,0.0,19.81
20100104:0300,01,04,03,0.0,19.86
20100104:0400,01,04,04,0.0,19.6
20100104:0500,01,04,05,0.0,19.46
20100104:0600,01,04,06,0.0,19.3
20100104:0700,01,04,07,0.0,19.32
20100104:0800,01,04,08,0.0,19.38
20100104:0900,01,04,09,0.0,19.3
20100104:1000,01,04,10,0.0,19.18
20100104:1100,01,04,11,35.95,19.01
20100104:1200,01,04,12,152.05,19.15
20100104:1300,01,04,13,382.0,19.58
20100104:1400,01,04,14,464.9,20.75
20100104:1500,01,04,15,697.2,21.32
20100104:1600,01,04,16,794.05,22.1
20100104:1700,01,04,17,840.75,22.64
20100104:1800,01,04,18,881.6,22.74
20100104:1900,01,04,19,727.0,23.37
20100104:2000,01,04,20,494.5,23.05
20100104:2100,01,04,21,318.0,22.44
