Date-hour,Month,Day,Hour,G(h),Temperature
20140101:0000,01,01,00,0.0,5.05
20140101:0100,01,01,01,0.0,5.02
20140101:0200,01,01,02,0.0,4.99
20140101:0300,01,01,03,0.0,4.96
20140101:0400,01,01,04,0.0,4.92
20140101:0500,01,01,05,0.0,4.89
20140101:0600,01,01,06,0.0,4.86
20140101:0700,01,01,07,0.0,4.83
20140101:0800,01,01,08,4.0,5.85
20140101:0900,01,01,09,117.0,6.36
20140101:1000,01,01,10,160.0,7.02
20140101:1100,01,01,11,234.0,7.57
20140101:1200,01,01,12,172.0,8.05
20140101:1300,01,01,13,148.0,8.3
20140101:1400,01,01,14,63.0,8.51
20140101:1500,01,01,15,52.0,8.4
20140101:1600,01,01,16,79.0,8.27
20140101:1700,01,01,17,0.0,8.15
20140101:1800,01,01,18,0.0,8.09
20140101:1900,01,01,19,0.0,7.97
20140101:2000,01,01,20,0.0,8.0
20140101:2100,01,01,21,0.0,8.07
20140101:2200,01,01,22,0.0,8.1
20140101:2300,01,01,23,0.0,8.1
20140102:0000,01,02,00,0.0,8.02
20140102:0100,01,02,01,0.0,8.09
20140102:0200,01,02,02,0.0,8.16
20140102:0300,01,02,03,0.0,8.24
20140102:0400,01,02,04,0.0,8.27
20140102:0500,01,02,05,0.0,8.29
20140102:0600,01,02,06,0.0,8.29
20140102:0700,01,02,07,0.0,8.32
20140102:0800,01,02,08,24.0,8.36
20140102:0900,01,02,09,95.0,8.5
20140102:1000,01,02,10,120.0,8.65
20140102:1100,01,02,11,161.0,8.86
20140102:1200,01,02,12,163.0,9.23
20140102:1300,01,02,13,232.0,9.42
20140102:1400,01,02,14,124.0,9.51
20140102:1500,01,02,15,85.0,9.6
20140102:1600,01,02,16,40.0,9.72
20140102:1700,01,02,17,0.0,9.78
20140102:1800,01,02,18,0.0,9.88
20140102:1900,01,02,19,0.0,10.31
20140102:2000,01,02,20,0.0,10.47
20140102:2100,01,02,21,0.0,10.59
20140102:2200,01,02,22,0.0,10.63
20140102:2300,01,02,23,0.0,10.67
20140103:0000,01,03,00,0.0,10.62
20140103:0100,01,03,01,0.0,10.6
20140103:0200,01,03,02,0.0,10.49
20140103:0300,01,03,03,0.0,10.29
20140103:0400,01,03,04,0.0,10.06
20140103:0500,01,03,05,0.0,9.75
20140103:0600,01,03,06,0.0,9.39
20140103:0700,01,03,07,0.0,8.94
20140103:0800,01,03,08,49.0,8.82
20140103:0900,01,03,09,159.0,9.09
20140103:1000,01,03,10,205.0,9.47
20140103:1100,01,03,11,131.0,9.77
20140103:1200,01,03,12,176.0,9.92
20140103:1300,01,03,13,193.0,10.01
20140103:1400,01,03,14,61.0,9.91
20140103:1500,01,03,15,170.0,10.05
20140103:1600,01,03,16,45.0,9.94
20140103:1700,01,03,17,0.0,9.85
20140103:1800,01,03,18,0.0,9.78
20140103:1900,01,03,19,0.0,9.95
20140103:2000,01,03,20,0.0,9.91
20140103:2100,01,03,21,0.0,9.8
20140103:2200,01,03,22,0.0,9.73
20140103:2300,01,03,23,0.0,9.75
20140104:0000,01,04,00,0.0,9.73
20140104:0100,01,04,01,0.0,9.49
20140104:0200,01,04,02,0.0,9.29
20140104:0300,01,04,03,0.0,9.0
20140104:0400,01,04,04,0.0,8.44
20140104:0500,01,04,05,0.0,7.79
20140104:0600,01,04,06,0.0,7.29
20140104:0700,01,04,07,0.0,7.42
20140104:0800,01,04,08,23.0,7.61
20140104:0900,01,04,09,76.0,7.77
20140104:1000,01,04,10,176.0,8.19
20140104:1100,01,04,11,127.0,8.33
20140104:1200,01,04,12,121.0,8.86
20140104:1300,01,04,13,116.0,8.88
20140104:1400,01,04,14,69.0,7.48
20140104:1500,01,04,15,42.0,6.85
20140104:1600,01,04,16,59.0,4.8
20140104:1700,01,04,17,0.0,4.48
20140104:1800,01,04,18,0.0,4.02
20140104:1900,01,04,19,0.0,4.07
20140104:2000,01,04,20,0.0,3.71
20140104:2100,01,04,21,0.0,3.33
20140104:2200,01,04,22,0.0,3.07
20140104:2300,01,04,23,0.0,2.52
20140105:0000,01,05,00,0.0,2.16
20140105:0100,01,05,01,0.0,1.93
20140105:0200,01,05,02,0.0,1.78
20140105:0300,01,05,03,0.0,2.33
20140105:0400,01,05,04,0.0,2.65
20140105:0500,01,05,05,0.0,2.86
20140105:0600,01,05,06,0.0,2.72
20140105:0700,01,05,07,0.0,3.19
20140105:0800,01,05,08,37.0,3.31
20140105:0900,01,05,09,193.0,3.68
20140105:1000,01,05,10,93.0,5.07
20140105:1100,01,05,11,175.0,6.52
20140105:1200,01,05,12,279.0,7.57
20140105:1300,01,05,13,243.0,8.56
20140105:1400,01,05,14,73.0,8.81
20140105:1500,01,05,15,43.0,8.68
20140105:1600,01,05,16,52.0,8.26
20140105:1700,01,05,17,0.0,7.66
20140105:1800,01,05,18,0.0,6.93
20140105:1900,01,05,19,0.0,6.83
20140105:2000,01,05,20,0.0,6.59
20140105:2100,01,05,21,0.0,6.48
20140105:2200,01,05,22,0.0,6.5
20140105:2300,01,05,23,0.0,6.58
20140106:0000,01,06,00,0.0,6.68
20140106:0100,01,06,01,0.0,6.66
20140106:0200,01,06,02,0.0,6.82
20140106:0300,01,06,03,0.0,6.87
