Latitude (decimal degrees): -37.998
Longitude (decimal degrees): -57.548
Elevation (m): 15.0
Irradiance Time Offset (h): 0.5
month,year
1,2011
2,2014
3,2017
4,2015
5,2008
6,2012
7,2018
8,2023
9,2018
10,2014
11,2017
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,19.51,48.54,0.0,-0.0,0.0,25.43,7.41,41.0,101600.0
20110101:0100,19.41,56.55,0.0,-0.0,0.0,26.91,6.77,38.0,101630.0
20110101:0200,19.31,64.55,0.0,-0.0,0.0,28.39,6.13,34.0,101650.0
20110101:0300,19.21,72.56,0.0,-0.0,0.0,29.86,5.49,28.0,101670.0
20110101:0400,19.11,80.56,0.0,-0.0,0.0,31.34,4.86,22.0,101670.0
20110101:0500,19.0,88.57,0.0,-0.0,0.0,32.82,4.22,18.0,101640.0
20110101:0600,18.9,96.57,0.0,-0.0,0.0,34.29,3.58,14.0,101630.0
20110101:0700,18.8,100.0,0.0,-0.0,0.0,35.77,2.94,10.0,101610.0
20110101:0800,18.56,89.75,0.0,-0.0,0.0,0.0,2.0,11.0,101630.0
20110101:0900,18.47,89.75,41.95,0.0,41.95,-0.55,1.79,28.0,101630.0
20110101:1000,20.76,84.05,323.7,975.57,69.2,4.25,2.34,28.0,101630.0
20110101:1100,21.52,81.35,519.4,962.95,88.15,1.9,2.83,31.0,101710.0
20110101:1200,21.94,81.35,703.7,953.37,111.95,6.15,3.1,40.0,101710.0
20110101:1300,22.26,81.4,857.9,945.95,131.75,4.25,3.59,52.0,101690.0
20110101:1400,22.93,76.15,1000.1,1016.08,107.3,3.45,4.34,58.0,101670.0
20110101:1500,23.48,71.35,1024.9,930.91,144.05,5.6,5.03,61.0,101630.0
20110101:1600,23.31,71.25,1020.85,939.07,114.0,-2.1,5.45,65.0,101630.0
20110101:1700,23.69,68.95,978.9,928.72,109.85,-2.3,5.72,69.0,101620.0
20110101:1800,23.51,68.95,848.9,849.05,120.05,-4.8,6.0,73.0,101610.0
20110101:1900,23.23,68.85,684.9,790.44,100.75,-2.1,6.28,73.0,101580.0
20110101:2000,22.66,71.15,494.7,703.34,82.8,-2.1,6.41,72.0,101560.0
20110101:2100,22.27,71.05,282.65,532.73,64.9,-6.95,6.48,73.0,101540.0
20110101:2200,20.8,84.05,89.95,256.58,33.4,-4.6,5.72,69.0,101550.0
20110101:2300,20.44,86.85,1.1,0.0,1.1,-4.25,5.52,71.0,101560.0
20110102:0000,19.93,89.85,0.0,-0.0,0.0,-2.7,5.66,72.0,101610.0
20110102:0100,19.96,86.85,0.0,-0.0,0.0,323.3,5.72,68.0,101630.0
20110102:0200,19.91,86.85,0.0,-0.0,0.0,-1.5,5.86,64.0,101660.0
20110102:0300,19.16,83.85,0.0,-0.0,0.0,-0.75,5.93,61.0,101640.0
20110102:0400,19.13,83.85,0.0,-0.0,0.0,1.35,6.0,60.0,101630.0
20110102:0500,18.77,83.8,0.0,-0.0,0.0,-0.95,5.86,59.0,101610.0
20110102:0600,18.78,83.8,0.0,-0.0,0.0,9.05,5.66,58.0,101620.0
20110102:0700,18.95,81.05,0.0,-0.0,0.0,15.45,5.45,59.0,101600.0
20110102:0800,19.02,78.3,0.0,-0.0,0.0,23.95,5.17,61.0,101640.0
20110102:0900,19.14,78.3,47.1,0.0,47.1,8.5,4.69,63.0,101680.0
20110102:1000,20.88,70.8,236.4,503.82,106.1,-11.8,4.28,68.0,101670.0
20110102:1100,21.19,66.15,391.55,539.74,150.95,0.55,4.69,73.0,101770.0
20110102:1200,21.23,68.5,550.65,542.35,215.0,-7.15,5.03,75.0,101720.0
20110102:1300,21.11,73.35,656.75,436.99,321.95,24.95,5.72,76.0,101730.0
20110102:1400,21.54,73.45,840.1,704.17,222.15,-7.9,6.48,76.0,101700.0
20110102:1500,22.28,71.05,774.7,529.3,274.25,-17.4,6.9,75.0,101680.0
20110102:1600,22.2,73.55,802.4,579.74,242.75,9.25,7.45,77.0,101640.0
20110102:1700,22.16,73.55,731.9,534.92,231.35,21.65,7.93,77.0,101600.0
20110102:1800,21.96,76.1,653.8,534.4,194.9,-14.1,8.21,76.0,101530.0
20110102:1900,21.82,78.65,520.7,495.39,154.35,-9.25,8.28,75.0,101490.0
20110102:2000,21.82,81.35,360.65,428.74,109.3,6.35,8.34,75.0,101460.0
20110102:2100,21.57,81.35,231.35,391.2,71.2,-3.65,8.28,75.0,101420.0
20110102:2200,20.46,89.9,78.4,200.72,34.05,-5.6,7.59,74.0,101430.0
20110102:2300,20.32,92.95,0.9,0.0,0.9,-3.65,7.17,75.0,101460.0
20110103:0000,20.48,89.9,0.0,-0.0,0.0,3.45,7.31,73.0,101500.0
20110103:0100,20.64,89.9,0.0,-0.0,0.0,356.8,7.38,70.0,101540.0
20110103:0200,20.77,89.9,0.0,-0.0,0.0,-1.7,7.31,69.0,101560.0
20110103:0300,20.52,86.9,0.0,-0.0,0.0,8.1,7.45,66.0,101560.0
20110103:0400,20.63,89.9,0.0,-0.0,0.0,3.65,7.93,61.0,101520.0
20110103:0500,20.64,89.9,0.0,-0.0,0.0,9.25,7.93,57.0,101510.0
20110103:0600,20.48,89.9,0.0,-0.0,0.0,-12.15,7.66,54.0,101460.0
20110103:0700,20.53,89.9,0.0,-0.0,0.0,18.55,7.38,52.0,101460.0
20110103:0800,20.33,92.95,0.0,-0.0,0.0,10.25,7.1,50.0,101470.0
20110103:0900,20.26,92.95,43.05,0.0,43.05,-4.25,6.55,48.0,101520.0
20110103:1000,21.05,86.95,200.1,420.38,92.35,7.5,5.66,51.0,101570.0
20110103:1100,21.3,86.95,369.4,593.04,106.3,-9.05,6.34,56.0,101590.0
20110103:1200,21.4,86.95,619.45,816.83,115.45,-13.15,6.97,60.0,101610.0
20110103:1300,21.73,84.1,646.05,605.53,183.05,-0.55,7.52,61.0,101590.0
20110103:1400,22.15,78.7,843.5,749.77,186.4,0.95,8.14,59.0,101600.0
20110103:1500,22.83,76.15,896.35,674.69,258.95,0.75,8.34,57.0,101570.0
20110103:1600,22.73,73.6,809.05,639.36,192.1,1.5,8.28,56.0,101570.0
20110103:1700,22.72,68.75,880.05,719.79,206.55,1.9,8.28,58.0,101490.0
20110103:1800,23.04,66.55,784.95,660.57,217.55,-22.6,8.41,60.0,101490.0
20110103:1900,22.89,66.45,591.85,505.92,217.5,6.15,8.28,61.0,101440.0
20110103:2000,22.42,71.05,388.15,304.45,209.5,0.0,8.14,61.0,101390.0
