Date-hour,Month,Day,Hour,G(h),Temperature
20110101:0000,01,01,00,0.0,19.51
20110101:0100,01,01,01,0.0,19.41
20110101:0200,01,01,02,0.0,19.31
20110101:0300,01,01,03,0.0,19.21
20110101:0400,01,01,04,0.0,19.11
20110101:0500,01,01,05,0.0,19.0
20110101:0600,01,01,06,0.0,18.9
20110101:0700,01,01,07,0.0,18.8
20110101:0800,01,01,08,0.0,18.56
20110101:0900,01,01,09,41.95,18.47
20110101:1000,01,01,10,323.7,20.76
20110101:1100,01,01,11,519.4,21.52
20110101:1200,01,01,12,703.7,21.94
20110101:1300,01,01,13,857.9,22.26
20110101:1400,01,01,14,1000.1,22.93
20110101:1500,01,01,15,1024.9,23.48
20110101:1600,01,01,16,1020.85,23.31
20110101:1700,01,01,17,978.9,23.69
20110101:1800,01,01,18,848.9,23.51
20110101:1900,01,01,19,684.9,23.23
20110101:2000,01,01,20,494.7,22.66
20110101:2100,01,01,21,282.65,22.27
20110101:2200,01,01,22,89.95,20.8
20110101:2300,01,01,23,1.1,20.44
20110102:0000,01,02,00,0.0,19.93
20110102:0100,01,02,01,0.0,19.96
20110102:0200,01,02,02,0.0,19.91
20110102:0300,01,02,03,0.0,19.16
20110102:0400,01,02,04,0.0,19.13
20110102:0500,01,02,05,0.0,18.77
20110102:0600,01,02,06,0.0,18.78
20110102:0700,01,02,07,0.0,18.95
20110102:0800,01,02,08,0.0,19.02
20110102:0900,01,02,09,47.1,19.14
20110102:1000,01,02,10,236.4,20.88
20110102:1100,01,02,11,391.55,21.19
20110102:1200,01,02,12,550.65,21.23
20110102:1300,01,02,13,656.75,21.11
20110102:1400,01,02,14,840.1,21.54
20110102:1500,01,02,15,774.7,22.28
20110102:1600,01,02,16,802.4,22.2
20110102:1700,01,02,17,731.9,22.16
20110102:1800,01,02,18,653.8,21.96
20110102:1900,01,02,19,520.7,21.82
20110102:2000,01,02,20,360.65,21.82
20110102:2100,01,02,21,231.35,21.57
20110102:2200,01,02,22,78.4,20.46
20110102:2300,01,02,23,0.9,20.32
20110103:0000,01,03,00,0.0,20.48
20110103:0100,01,03,01,0.0,20.64
20110103:0200,01,03,02,0.0,20.77
20110103:0300,01,03,03,0.0,20.52
20110103:0400,01,03,04,0.0,20.63
20110103:0500,01,03,05,0.0,20.64
20110103:0600,01,03,06,0.0,20.48
20110103:0700,01,03,07,0.0,20.53
20110103:0800,01,03,08,0.0,20.33
20110103:0900,01,03,09,43.05,20.26
20110103:1000,01,03,10,200.1,21.05
20110103:1100,01,03,11,369.4,21.3
20110103:1200,01,03,12,619.45,21.4
20110103:1300,01,03,13,646.05,21.73
20110103:1400,01,03,14,843.5,22.15
20110103:1500,01,03,15,896.35,22.83
20110103:1600,01,03,16,809.05,22.73
20110103:1700,01,03,17,880.05,22.72
20110103:1800,01,03,18,784.95,23.04
20110103:1900,01,03,19,591.85,22.89
20110103:2000,01,03,20,388.15,22.42
20110103:2100,01,03,21,210.75,22.0
20110103:2200,01,03,22,66.6,21.01
20110103:2300,01,03,23,1.15,20.88
20110104:0000,01,04,00,0.0,20.93
20110104:0100,01,04,01,0.0,21.02
20110104:0200,01,04,02,0.0,20.96
20110104:0300,01,04,03,0.0,20.52
20110104:0400,01,04,04,0.0,20.58
20110104:0500,01,04,05,0.0,20.53
20110104:0600,01,04,06,0.0,20.64
20110104:0700,01,04,07,0.0,20.77
20110104:0800,01,04,08,0.0,20.68
20110104:0900,01,04,09,54.3,20.8
20110104:1000,01,04,10,242.95,21.74
20110104:1100,01,04,11,377.6,21.67
20110104:1200,01,04,12,458.8,21.69
20110104:1300,01,04,13,595.8,21.52
20110104:1400,01,04,14,617.4,21.97
20110104:1500,01,04,15,649.5,22.39
20110104:1600,01,04,16,693.85,22.3
20110104:1700,01,04,17,606.35,22.25
20110104:1800,01,04,18,367.8,22.19
20110104:1900,01,04,19,282.9,22.05
20110104:2000,01,04,20,209.45,22.16
20110104:2100,01,04,21,107.55,21.44
20110104:2200,01,04,22,31.25,20.62
20110104:2300,01,04,23,0.75,20.62
20110105:0000,01,05,00,0.0,20.78
20110105:0100,01,05,01,0.0,20.98
20110105:0200,01,05,02,0.0,20.91
20110105:0300,01,05,03,0.0,20.95
20110105:0400,01,05,04,0.0,20.89
20110105:0500,01,05,05,0.0,20.77
20110105:0600,01,05,06,0.0,20.76
20110105:0700,01,05,07,0.0,20.91
20110105:0800,01,05,08,0.0,20.69
20110105:0900,01,05,09,32.0,20.86
20110105:1000,01,05,10,182.0,21.11
20110105:1100,01,05,11,350.45,21.14
20110105:1200,01,05,12,511.8,21.39
20110105:1300,01,05,13,680.9,21.51
20110105:1400,01,05,14,864.9,21.87
20110105:1500,01,05,15,907.65,22.03
20110105:1600,01,05,16,899.5,21.79
20110105:1700,01,05,17,918.1,21.79
20110105:1800,01,05,18,737.1,21.52
20110105:1900,01,05,19,544.05,21.39
20110105:2000,01,05,20,364.05,20.64
20110105:2100,01,05,21,171.4,20.76
20110105:2200,01,05,22,43.75,19.99
20110105:2300,01,05,23,0.7,19.82
20110106:0000,01,06,00,0.0,19.87
20110106:0100,01,06,01,0.0,19.88
20110106:0200,01,06,02,0.0,19.78
20110106:0300,01,06,03,0.0,19.62
20110106:0400,01,06,04,0.0,19.57
20110106:0500,01,06,05,0.0,19.18
20110106:0600,01,06,06,0.0,19.52
20110106:0700,01,06,07,0.0,19.66
20110106:0800,01,06,08,0.0,19.8
20110106:0900,01,06,09,35.7,20.14
