Date-hour,Month,Day,Hour,G(h),Temperature
20090101:0000,01,01,00,0.0,-2.49
20090101:0100,01,01,01,0.0,-2.9
20090101:0200,01,01,02,0.0,-3.3
20090101:0300,01,01,03,0.0,-3.71
20090101:0400,01,01,04,0.0,-4.12
20090101:0500,01,01,05,0.0,-4.52
20090101:0600,01,01,06,0.0,-4.93
20090101:0700,01,01,07,31.0,-5.34
20090101:0800,01,01,08,19.0,-4.51
20090101:0900,01,01,09,15.0,-4.57
20090101:1000,01,01,10,33.0,-4.65
20090101:1100,01,01,11,130.0,-4.64
20090101:1200,01,01,12,5.0,-4.52
20090101:1300,01,01,13,0.0,-4.44
20090101:1400,01,01,14,0.0,-4.35
20090101:1500,01,01,15,0.0,-4.62
20090101:1600,01,01,16,0.0,-5.36
20090101:1700,01,01,17,0.0,-6.43
20090101:1800,01,01,18,0.0,-7.0
20090101:1900,01,01,19,0.0,-7.35
20090101:2000,01,01,20,0.0,-7.33
20090101:2100,01,01,21,0.0,-7.32
20090101:2200,01,01,22,0.0,-7.54
20090101:2300,01,01,23,0.0,-7.88
20090102:0000,01,02,00,0.0,-8.24
20090102:0100,01,02,01,0.0,-8.55
20090102:0200,01,02,02,0.0,-8.95
20090102:0300,01,02,03,0.0,-9.41
20090102:0400,01,02,04,0.0,-9.93
20090102:0500,01,02,05,0.0,-10.29
20090102:0600,01,02,06,0.0,-10.76
20090102:0700,01,02,07,0.0,-10.44
20090102:0800,01,02,08,0.0,-10.34
20090102:0900,01,02,09,0.0,-10.35
20090102:1000,01,02,10,131.0,-10.54
20090102:1100,01,02,11,0.0,-10.81
20090102:1200,01,02,12,39.0,-11.11
20090102:1300,01,02,13,0.0,-11.65
20090102:1400,01,02,14,0.0,-12.12
20090102:1500,01,02,15,0.0,-12.38
20090102:1600,01,02,16,0.0,-12.75
20090102:1700,01,02,17,0.0,-13.16
20090102:1800,01,02,18,0.0,-13.51
20090102:1900,01,02,19,0.0,-12.92
20090102:2000,01,02,20,0.0,-13.13
20090102:2100,01,02,21,0.0,-13.57
20090102:2200,01,02,22,0.0,-14.27
20090102:2300,01,02,23,0.0,-14.93
20090103:0000,01,03,00,0.0,-15.72
20090103:0100,01,03,01,0.0,-16.57
20090103:0200,01,03,02,0.0,-17.31
20090103:0300,01,03,03,0.0,-17.93
20090103:0400,01,03,04,0.0,-18.45
20090103:0500,01,03,05,0.0,-18.52
20090103:0600,01,03,06,0.0,-18.35
20090103:0700,01,03,07,0.0,-17.67
20090103:0800,01,03,08,76.0,-16.32
20090103:0900,01,03,09,0.0,-14.99
20090103:1000,01,03,10,42.0,-14.22
20090103:1100,01,03,11,0.0,-14.06
20090103:1200,01,03,12,41.0,-14.3
20090103:1300,01,03,13,0.0,-14.83
20090103:1400,01,03,14,0.0,-15.22
20090103:1500,01,03,15,0.0,-15.25
20090103:1600,01,03,16,0.0,-15.04
20090103:1700,01,03,17,0.0,-14.75
20090103:1800,01,03,18,0.0,-14.79
20090103:1900,01,03,19,0.0,-13.08
20090103:2000,01,03,20,0.0,-12.89
20090103:2100,01,03,21,0.0,-12.57
20090103:2200,01,03,22,0.0,-12.09
20090103:2300,01,03,23,0.0,-11.69
20090104:0000,01,04,00,0.0,-11.44
20090104:0100,01,04,01,0.0,-11.36
20090104:0200,01,04,02,0.0,-11.22
20090104:0300,01,04,03,0.0,-11.29
20090104:0400,01,04,04,0.0,-11.62
20090104:0500,01,04,05,0.0,-12.25
20090104:0600,01,04,06,0.0,-13.2
20090104:0700,01,04,07,0.0,-13.84
20090104:0800,01,04,08,102.0,-13.02
20090104:0900,01,04,09,0.0,-12.97
20090104:1000,01,04,10,121.0,-13.07
20090104:1100,01,04,11,0.0,-13.2
20090104:1200,01,04,12,45.0,-13.42
20090104:1300,01,04,13,0.0,-13.68
20090104:1400,01,04,14,0.0,-13.97
20090104:1500,01,04,15,0.0,-14.14
20090104:1600,01,04,16,0.0,-14.6
20090104:1700,01,04,17,0.0,-14.78
20090104:1800,01,04,18,0.0,-14.87
20090104:1900,01,04,19,0.0,-14.65
20090104:2000,01,04,20,0.0,-15.2
20090104:2100,01,04,21,0.0,-15.9
20090104:2200,01,04,22,0.0,-16.8
20090104:2300,01,04,23,0.0,-17.44
20090105:0000,01,05,00,0.0,-17.89
20090105:0100,01,05,01,0.0,-18.24
20090105:0200,01,05,02,0.0,-18.6
20090105:0300,01,05,03,0.0,-18.74
20090105:0400,01,05,04,0.0,-18.33
20090105:0500,01,05,05,0.0,-17.6
20090105:0600,01,05,06,0.0,-16.82
20090105:0700,01,05,07,0.0,-16.93
20090105:0800,01,05,08,91.0,-15.95
20090105:0900,01,05,09,0.0,-14.06
20090105:1000,01,05,10,41.0,-12.74
20090105:1100,01,05,11,0.0,-12.27
20090105:1200,01,05,12,5.0,-12.16
20090105:1300,01,05,13,0.0,-12.41
20090105:1400,01,05,14,0.0,-12.89
20090105:1500,01,05,15,0.0,-13.09
20090105:1600,01,05,16,0.0,-13.42
20090105:1700,01,05,17,0.0,-13.72
20090105:1800,01,05,18,0.0,-14.19
20090105:1900,01,05,19,0.0,-14.4
20090105:2000,01,05,20,0.0,-14.54
20090105:2100,01,05,21,0.0,-14.7
20090105:2200,01,05,22,0.0,-14.76
20090105:2300,01,05,23,0.0,-14.92
20090106:0000,01,06,00,0.0,-14.99
20090106:0100,01,06,01,0.0,-15.04
20090106:0200,01,06,02,0.0,-15.56
20090106:0300,01,06,03,0.0,-16.03
20090106:0400,01,06,04,0.0,-15.98
20090106:0500,01,06,05,0.0,-15.67
20090106:0600,01,06,06,0.0,-15.65
20090106:0700,01,06,07,0.0,-14.95
20090106:0800,01,06,08,146.0,-14.42
20090106:0900,01,06,09,0.0,-13.68
20090106:1000,01,06,10,182.0,-12.94
20090106:1100,01,06,11,0.0,-12.02
20090106:1200,01,06,12,41.0,-11.5
20090106:1300,01,06,13,0.0,-11.33
20090106:1400,01,06,14,0.0,-11.5
20090106:1500,01,06,15,0.0,-11.71
20090106:1600,01,06,16,0.0,-11.68
20090106:1700,01,06,17,0.0,-11.54
20090106:1800,01,06,18,0.0,-11.0
20090106:1900,01,06,19,0.0,-8.96
20090106:2000,01,06,20,0.0,-8.42
20090106:2100,01,06,21,0.0,-8.1
20090106:2200,01,06,22,0.0,-7.95
20090106:2300,01,06,23,0.0,-7.94
20090107:0000,01,07,00,0.0,-8.22
