Date-hour,Month,Day,Hour,G(h),Temperature
20190101:0000,01,01,00,0.0,12.44
20190101:0100,01,01,01,0.0,12.61
20190101:0200,01,01,02,103.1,12.77
20190101:0300,01,01,03,290.65,12.94
20190101:0400,01,01,04,461.1,13.11
20190101:0500,01,01,05,583.3,13.27
20190101:0600,01,01,06,641.95,13.44
20190101:0700,01,01,07,631.0,13.61
20190101:0800,01,01,08,545.3,20.27
20190101:0900,01,01,09,411.15,20.74
20190101:1000,01,01,10,244.45,20.66
20190101:1100,01,01,11,69.85,20.06
20190101:1200,01,01,12,0.0,18.75
20190101:1300,01,01,13,0.0,16.63
20190101:1400,01,01,14,0.0,14.46
20190101:1500,01,01,15,0.0,12.73
20190101:1600,01,01,16,0.0,11.48
20190101:1700,01,01,17,0.0,10.57
20190101:1800,01,01,18,0.0,9.89
20190101:1900,01,01,19,0.0,9.71
20190101:2000,01,01,20,0.0,9.26
20190101:2100,01,01,21,0.0,9.19
20190101:2200,01,01,22,0.0,8.93
20190101:2300,01,01,23,0.0,8.77
20190102:0000,01,02,00,0.0,8.27
20190102:0100,01,02,01,0.0,7.8
20190102:0200,01,02,02,37.85,7.65
20190102:0300,01,02,03,280.9,9.93
20190102:0400,01,02,04,449.95,14.6
20190102:0500,01,02,05,572.45,17.68
20190102:0600,01,02,06,635.55,19.68
20190102:0700,01,02,07,628.15,20.72
20190102:0800,01,02,08,555.5,21.43
20190102:0900,01,02,09,424.05,21.78
20190102:1000,01,02,10,250.0,21.74
20190102:1100,01,02,11,71.35,21.32
20190102:1200,01,02,12,0.0,20.11
20190102:1300,01,02,13,0.0,17.97
20190102:1400,01,02,14,0.0,15.78
20190102:1500,01,02,15,0.0,14.02
20190102:1600,01,02,16,0.0,12.73
20190102:1700,01,02,17,0.0,11.65
20190102:1800,01,02,18,0.0,10.8
20190102:1900,01,02,19,0.0,11.18
20190102:2000,01,02,20,0.0,9.69
20190102:2100,01,02,21,0.0,8.97
20190102:2200,01,02,22,0.0,8.61
20190102:2300,01,02,23,0.0,8.3
20190103:0000,01,03,00,0.0,8.12
20190103:0100,01,03,01,0.0,7.97
20190103:0200,01,03,02,38.25,7.79
20190103:0300,01,03,03,286.75,9.97
20190103:0400,01,03,04,457.95,14.67
20190103:0500,01,03,05,581.85,17.79
20190103:0600,01,03,06,642.35,19.8
20190103:0700,01,03,07,636.9,20.07
20190103:0800,01,03,08,564.2,20.81
20190103:0900,01,03,09,431.7,21.11
20190103:1000,01,03,10,256.05,20.97
20190103:1100,01,03,11,74.15,20.18
20190103:1200,01,03,12,0.05,18.04
20190103:1300,01,03,13,0.0,15.87
20190103:1400,01,03,14,0.0,14.45
20190103:1500,01,03,15,0.0,13.36
20190103:1600,01,03,16,0.0,12.49
20190103:1700,01,03,17,0.0,11.73
20190103:1800,01,03,18,0.0,11.03
20190103:1900,01,03,19,0.0,10.35
20190103:2000,01,03,20,0.0,9.86
20190103:2100,01,03,21,0.0,9.39
20190103:2200,01,03,22,0.0,8.97
20190103:2300,01,03,23,0.0,8.63
20190104:0000,01,04,00,0.0,8.34
20190104:0100,01,04,01,0.0,8.09
20190104:0200,01,04,02,37.3,7.89
20190104:0300,01,04,03,285.55,9.58
20190104:0400,01,04,04,456.5,13.48
20190104:0500,01,04,05,579.85,16.28
20190104:0600,01,04,06,584.0,18.39
20190104:0700,01,04,07,460.9,18.82
20190104:0800,01,04,08,367.4,19.2
20190104:0900,01,04,09,259.0,19.29
20190104:1000,01,04,10,148.35,19.08
20190104:1100,01,04,11,40.15,18.49
20190104:1200,01,04,12,0.05,17.59
20190104:1300,01,04,13,0.0,16.37
20190104:1400,01,04,14,0.0,15.42
20190104:1500,01,04,15,0.0,14.71
20190104:1600,01,04,16,0.0,13.47
20190104:1700,01,04,17,0.0,11.85
20190104:1800,01,04,18,0.0,10.38
20190104:1900,01,04,19,0.0,9.3
20190104:2000,01,04,20,0.0,8.83
20190104:2100,01,04,21,0.0,8.65
20190104:2200,01,04,22,0.0,8.54
20190104:2300,01,04,23,0.0,8.44
20190105:0000,01,05,00,0.0,8.3
20190105:0100,01,05,01,0.0,8.16
20190105:0200,01,05,02,37.3,8.12
20190105:0300,01,05,03,282.5,10.06
20190105:0400,01,05,04,451.25,14.07
20190105:0500,01,05,05,573.15,16.98
20190105:0600,01,05,06,634.35,19.04
20190105:0700,01,05,07,627.8,20.03
20190105:0800,01,05,08,558.6,20.79
20190105:0900,01,05,09,427.05,21.15
20190105:1000,01,05,10,254.2,21.06
20190105:1100,01,05,11,75.95,20.37
20190105:1200,01,05,12,0.15,18.32
20190105:1300,01,05,13,0.0,16.26
20190105:1400,01,05,14,0.0,15.05
20190105:1500,01,05,15,0.0,14.17
20190105:1600,01,05,16,0.0,13.61
20190105:1700,01,05,17,0.0,13.15
20190105:1800,01,05,18,0.0,12.98
20190105:1900,01,05,19,0.0,12.19
20190105:2000,01,05,20,0.0,11.83
20190105:2100,01,05,21,0.0,11.73
20190105:2200,01,05,22,0.0,11.18
20190105:2300,01,05,23,0.0,11.3
20190106:0000,01,06,00,0.0,10.05
20190106:0100,01,06,01,0.0,9.95
20190106:0200,01,06,02,30.65,10.33
20190106:0300,01,06,03,192.9,11.29
20190106:0400,01,06,04,364.75,13.12
20190106:0500,01,06,05,532.2,15.37
20190106:0600,01,06,06,435.6,17.31
20190106:0700,01,06,07,511.45,17.83
20190106:0800,01,06,08,508.85,18.68
20190106:0900,01,06,09,339.4,19.22
20190106:1000,01,06,10,198.3,19.1
20190106:1100,01,06,11,60.25,18.19
