Date-hour,Month,Day,Hour,G(h),Temperature
20200101:0000,01,01,00,0.0,0.46
20200101:0100,01,01,01,0.0,0.47
20200101:0200,01,01,02,0.0,0.48
20200101:0300,01,01,03,0.0,0.49
20200101:0400,01,01,04,0.0,0.49
20200101:0500,01,01,05,0.0,0.5
20200101:0600,01,01,06,0.0,0.51
20200101:0700,01,01,07,0.0,0.52
20200101:0800,01,01,08,0.0,0.75
20200101:0900,01,01,09,6.0,0.7
20200101:1000,01,01,10,19.0,1.0
20200101:1100,01,01,11,16.0,1.35
20200101:1200,01,01,12,10.0,1.46
20200101:1300,01,01,13,6.0,1.31
20200101:1400,01,01,14,0.0,1.1
20200101:1500,01,01,15,0.0,1.0
20200101:1600,01,01,16,0.0,0.84
20200101:1700,01,01,17,0.0,0.75
20200101:1800,01,01,18,0.0,0.52
20200101:1900,01,01,19,0.0,0.31
20200101:2000,01,01,20,0.0,0.48
20200101:2100,01,01,21,0.0,0.71
20200101:2200,01,01,22,0.0,0.88
20200101:2300,01,01,23,0.0,0.99
20200102:0000,01,02,00,0.0,1.03
20200102:0100,01,02,01,0.0,1.12
20200102:0200,01,02,02,0.0,1.53
20200102:0300,01,02,03,0.0,1.38
20200102:0400,01,02,04,0.0,1.31
20200102:0500,01,02,05,0.0,1.24
20200102:0600,01,02,06,0.0,1.11
20200102:0700,01,02,07,0.0,1.03
20200102:0800,01,02,08,0.0,1.43
20200102:0900,01,02,09,20.0,1.85
20200102:1000,01,02,10,63.0,2.39
20200102:1100,01,02,11,52.0,2.95
20200102:1200,01,02,12,73.0,3.29
20200102:1300,01,02,13,9.0,3.38
20200102:1400,01,02,14,0.0,3.26
20200102:1500,01,02,15,0.0,3.05
20200102:1600,01,02,16,0.0,3.01
20200102:1700,01,02,17,0.0,3.06
20200102:1800,01,02,18,0.0,3.16
20200102:1900,01,02,19,0.0,3.84
20200102:2000,01,02,20,0.0,4.14
20200102:2100,01,02,21,0.0,4.25
20200102:2200,01,02,22,0.0,4.3
20200102:2300,01,02,23,0.0,4.4
20200103:0000,01,03,00,0.0,4.48
20200103:0100,01,03,01,0.0,4.86
20200103:0200,01,03,02,0.0,4.87
20200103:0300,01,03,03,0.0,4.88
20200103:0400,01,03,04,0.0,4.95
20200103:0500,01,03,05,0.0,5.21
20200103:0600,01,03,06,0.0,5.25
20200103:0700,01,03,07,0.0,4.78
20200103:0800,01,03,08,0.0,3.77
20200103:0900,01,03,09,23.0,3.06
20200103:1000,01,03,10,73.0,2.78
20200103:1100,01,03,11,90.0,2.76
20200103:1200,01,03,12,81.0,2.63
20200103:1300,01,03,13,41.0,2.31
20200103:1400,01,03,14,0.0,1.64
20200103:1500,01,03,15,0.0,1.17
20200103:1600,01,03,16,0.0,1.14
20200103:1700,01,03,17,0.0,1.15
20200103:1800,01,03,18,0.0,1.1
20200103:1900,01,03,19,0.0,1.28
20200103:2000,01,03,20,0.0,1.03
20200103:2100,01,03,21,0.0,0.82
20200103:2200,01,03,22,0.0,0.44
20200103:2300,01,03,23,0.0,-0.13
20200104:0000,01,04,00,0.0,-0.48
20200104:0100,01,04,01,0.0,-0.84
20200104:0200,01,04,02,0.0,-1.42
20200104:0300,01,04,03,0.0,-1.86
20200104:0400,01,04,04,0.0,-2.1
20200104:0500,01,04,05,0.0,-2.14
20200104:0600,01,04,06,0.0,-2.22
20200104:0700,01,04,07,0.0,-1.93
20200104:0800,01,04,08,0.0,-2.3
20200104:0900,01,04,09,26.0,-2.1
20200104:1000,01,04,10,79.0,-1.0
20200104:1100,01,04,11,101.0,0.01
20200104:1200,01,04,12,91.0,0.67
20200104:1300,01,04,13,45.0,0.65
20200104:1400,01,04,14,0.0,-0.23
20200104:1500,01,04,15,0.0,-1.19
20200104:1600,01,04,16,0.0,-1.76
20200104:1700,01,04,17,0.0,-2.03
20200104:1800,01,04,18,0.0,-2.27
20200104:1900,01,04,19,0.0,-2.04
20200104:2000,01,04,20,0.0,-2.5
20200104:2100,01,04,21,0.0,-3.07
20200104:2200,01,04,22,0.0,-3.73
20200104:2300,01,04,23,0.0,-4.45
20200105:0000,01,05,00,0.0,-5.19
20200105:0100,01,05,01,0.0,-5.62
20200105:0200,01,05,02,0.0,-5.22
20200105:0300,01,05,03,0.0,-4.39
20200105:0400,01,05,04,0.0,-4.18
20200105:0500,01,05,05,0.0,-3.8
20200105:0600,01,05,06,0.0,-3.42
20200105:0700,01,05,07,0.0,-3.33
20200105:0800,01,05,08,0.0,-2.78
20200105:0900,01,05,09,4.0,-1.87
20200105:1000,01,05,10,13.0,-0.78
20200105:1100,01,05,11,17.0,-0.04
20200105:1200,01,05,12,8.0,0.54
20200105:1300,01,05,13,5.0,1.14
20200105:1400,01,05,14,0.0,1.6
20200105:1500,01,05,15,0.0,1.91
20200105:1600,01,05,16,0.0,2.24
20200105:1700,01,05,17,0.0,2.35
20200105:1800,01,05,18,0.0,2.41
20200105:1900,01,05,19,0.0,1.34
20200105:2000,01,05,20,0.0,0.87
20200105:2100,01,05,21,0.0,-0.06
20200105:2200,01,05,22,0.0,-0.94
20200105:2300,01,05,23,0.0,-1.56
20200106:0000,01,06,00,0.0,-1.7
20200106:0100,01,06,01,0.0,-2.14
20200106:0200,01,06,02,0.0,-2.32
20200106:0300,01,06,03,0.0,-2.22
20200106:0400,01,06,04,0.0,-2.17
20200106:0500,01,06,05,0.0,-1.89
20200106:0600,01,06,06,0.0,-1.56
20200106:0700,01,06,07,0.0,-1.09
20200106:0800,01,06,08,0.0,-1.45
20200106:0900,01,06,09,3.0,-1.57
20200106:1000,01,06,10,7.0,-0.73
20200106:1100,01,06,11,14.0,0.55
20200106:1200,01,06,12,19.0,1.11
20200106:1300,01,06,13,8.0,1.3
20200106:1400,01,06,14,0.0,1.32
20200106:1500,01,06,15,0.0,1.78
20200106:1600,01,06,16,0.0,2.43
20200106:1700,01,06,17,0.0,3.41
20200106:1800,01,06,18,0.0,4.19
20200106:1900,01,06,19,0.0,4.42
20200106:2000,01,06,20,0.0,4.38
20200106:2100,01,06,21,0.0,4.06
20200106:2200,01,06,22,0.0,3.74
20200106:2300,01,06,23,0.0,3.59
20200107:0000,01,07,00,0.0,3.51
20200107:0100,01,07,01,0.0,3.39
20200107:0200,01,07,02,0.0,3.36
20200107:0300,01,07,03,0.0,3.07
20200107:0400,01,07,04,0.0,3.06
20200107:0500,01,07,05,0.0,3.06
20200107:0600,01,07,06,0.0,3.2
20200107:0700,01,07,07,0.0,1.76
20200107:0800,01,07,08,0.0,1.57
20200107:0900,01,07,09,9.0,1.44
20200107:1000,01,07,10,49.0,1.66
20200107:1100,01,07,11,13.0,1.98
20200107:1200,01,07,12,37.0,2.12
20200107:1300,01,07,13,58.0,2.09
20200107:1400,01,07,14,0.0,1.74
20200107:1500,01,07,15,0.0,1.75
20200107:1600,01,07,16,0.0,2.15
20200107:1700,01,07,17,0.0,2.88
20200107:1800,01,07,18,0.0,3.18
20200107:1900,01,07,19,0.0,3.91
20200107:2000,01,07,20,0.0,4.25
20200107:2100,01,07,21,0.0,4.62
20200107:2200,01,07,22,0.0,4.93
20200107:2300,01,07,23,0.0,5.31
20200108:0000,01,08,00,0.0,5.82
20200108:0100,01,08,01,0.0,6.4
20200108:0200,01,08,02,0.0,6.87
20200108:0300,01,08,03,0.0,7.29
20200108:0400,01,08,04,0.0,7.58
20200108:0500,01,08,05,0.0,7.44
20200108:0600,01,08,06,0.0,6.98
20200108:0700,01,08,07,0.0,6.15
20200108:0800,01,08,08,0.0,5.56
20200108:0900,01,08,09,29.0,5.01
20200108:1000,01,08,10,83.0,4.76
20200108:1100,01,08,11,103.0,4.65
20200108:1200,01,08,12,101.0,4.61
20200108:1300,01,08,13,54.0,4.38
20200108:1400,01,08,14,0.0,3.84
20200108:1500,01,08,15,0.0,3.13
20200108:1600,01,08,16,0.0,2.64
20200108:1700,01,08,17,0.0,2.19
20200108:1800,01,08,18,0.0,1.8
20200108:1900,01,08,19,0.0,2.29
20200108:2000,01,08,20,0.0,2.13
20200108:2100,01,08,21,0.0,1.89
20200108:2200,01,08,22,0.0,1.7
20200108:2300,01,08,23,0.0,1.64
20200109:0000,01,09,00,0.0,1.55
20200109:0100,01,09,01,0.0,1.39
20200109:0200,01,09,02,0.0,1.21
20200109:0300,01,09,03,0.0,1.08
20200109:0400,01,09,04,0.0,0.81
20200109:0500,01,09,05,0.0,0.41
20200109:0600,01,09,06,0.0,-0.04
20200109:0700,01,09,07,0.0,-0.36
20200109:0800,01,09,08,0.0,-0.97
20200109:0900,01,09,09,15.0,-0.3
20200109:1000,01,09,10,31.0,0.23
20200109:1100,01,09,11,47.0,0.44
20200109:1200,01,09,12,61.0,0.35
20200109:1300,01,09,13,50.0,0.34
20200109:1400,01,09,14,0.0,0.1
20200109:1500,01,09,15,0.0,-0.34
20200109:1600,01,09,16,0.0,-0.49
20200109:1700,01,09,17,0.0,-0.69
20200109:1800,01,09,18,0.0,-0.46
20200109:1900,01,09,19,0.0,-0.09
20200109:2000,01,09,20,0.0,-0.01
20200109:2100,01,09,21,0.0,0.07
20200109:2200,01,09,22,0.0,0.01
20200109:2300,01,09,23,0.0,-0.07
20200110:0000,01,10,00,0.0,-0.3
20200110:0100,01,10,01,0.0,-0.52
20200110:0200,01,10,02,0.0,-0.9
20200110:0300,01,10,03,0.0,-1.31
20200110:0400,01,10,04,0.0,-1.44
20200110:0500,01,10,05,0.0,-1.82
20200110:0600,01,10,06,0.0,-2.21
20200110:0700,01,10,07,0.0,-2.35
20200110:0800,01,10,08,0.0,-2.79
20200110:0900,01,10,09,41.0,-3.13
20200110:1000,01,10,10,93.0,-3.0
20200110:1100,01,10,11,112.0,-2.5
20200110:1200,01,10,12,109.0,-2.01
20200110:1300,01,10,13,64.0,-2.11
20200110:1400,01,10,14,0.0,-2.41
20200110:1500,01,10,15,0.0,-3.38
20200110:1600,01,10,16,0.0,-4.0
20200110:1700,01,10,17,0.0,-4.18
20200110:1800,01,10,18,0.0,-3.76
20200110:1900,01,10,19,0.0,-4.27
20200110:2000,01,10,20,0.0,-3.69
20200110:2100,01,10,21,0.0,-3.54
20200110:2200,01,10,22,0.0,-4.46
20200110:2300,01,10,23,0.0,-5.42
20200111:0000,01,11,00,0.0,-4.81
20200111:0100,01,11,01,0.0,-3.72
20200111:0200,01,11,02,0.0,-2.51
20200111:0300,01,11,03,0.0,-1.43
20200111:0400,01,11,04,0.0,-0.27
20200111:0500,01,11,05,0.0,0.63
20200111:0600,01,11,06,0.0,1.39
20200111:0700,01,11,07,0.0,1.98
20200111:0800,01,11,08,0.0,2.66
20200111:0900,01,11,09,5.0,3.05
20200111:1000,01,11,10,11.0,3.39
20200111:1100,01,11,11,19.0,3.64
20200111:1200,01,11,12,29.0,3.86
20200111:1300,01,11,13,13.0,4.23
20200111:1400,01,11,14,0.0,4.38
20200111:1500,01,11,15,0.0,4.48
20200111:1600,01,11,16,0.0,4.63
20200111:1700,01,11,17,0.0,4.85
20200111:1800,01,11,18,0.0,5.03
20200111:1900,01,11,19,0.0,5.06
20200111:2000,01,11,20,0.0,5.2
20200111:2100,01,11,21,0.0,5.3
20200111:2200,01,11,22,0.0,5.28
20200111:2300,01,11,23,0.0,5.04
20200112:0000,01,12,00,0.0,4.79
20200112:0100,01,12,01,0.0,4.38
20200112:0200,01,12,02,0.0,3.82
20200112:0300,01,12,03,0.0,2.91
20200112:0400,01,12,04,0.0,2.26
20200112:0500,01,12,05,0.0,2.26
20200112:0600,01,12,06,0.0,1.82
20200112:0700,01,12,07,0.0,1.15
20200112:0800,01,12,08,0.0,0.73
20200112:0900,01,12,09,39.0,0.58
20200112:1000,01,12,10,96.0,1.73
20200112:1100,01,12,11,121.0,2.55
20200112:1200,01,12,12,116.0,2.8
20200112:1300,01,12,13,63.0,2.59
20200112:1400,01,12,14,1.0,1.58
20200112:1500,01,12,15,0.0,0.29
20200112:1600,01,12,16,0.0,-0.29
20200112:1700,01,12,17,0.0,-0.67
20200112:1800,01,12,18,0.0,-0.94
20200112:1900,01,12,19,0.0,-0.72
20200112:2000,01,12,20,0.0,-0.68
20200112:2100,01,12,21,0.0,-0.74
20200112:2200,01,12,22,0.0,-0.98
20200112:2300,01,12,23,0.0,-1.32
20200113:0000,01,13,00,0.0,-1.58
