Latitude (decimal degrees): -0.220
Longitude (decimal degrees): -78.512
Elevation (m): 2822.0
Irradiance Time Offset (h): 0.5
month,year
1,2020
2,2010
3,2020
4,2013
5,2016
6,2013
7,2015
8,2015
9,2009
10,2007
11,2007
12,2020
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20200101:0000,12.4,90.79,0.0,-0.0,0.0,347.52,0.86,317.0,73000.0
20200101:0100,12.04,92.54,0.0,-0.0,0.0,348.43,0.73,315.0,73040.0
20200101:0200,11.67,94.28,0.0,-0.0,0.0,349.33,0.6,342.0,73110.0
20200101:0300,11.3,96.02,0.0,-0.0,0.0,350.23,0.46,2.0,73160.0
20200101:0400,10.94,97.76,0.0,-0.0,0.0,351.13,0.33,346.0,73140.0
20200101:0500,10.57,99.51,0.0,-0.0,0.0,352.04,0.19,321.0,73110.0
20200101:0600,10.21,100.0,0.0,-0.0,0.0,352.94,0.06,342.0,73050.0
20200101:0700,9.84,100.0,0.0,-0.0,0.0,353.84,-0.08,140.0,72970.0
20200101:0800,10.78,99.4,0.0,-0.0,0.0,352.4,0.28,133.0,72920.0
20200101:0900,10.82,95.9,0.0,-0.0,0.0,340.8,0.28,140.0,72920.0
20200101:1000,10.79,95.9,0.0,-0.0,0.0,336.75,0.21,120.0,72910.0
20200101:1100,10.5,95.9,0.0,-0.0,0.0,323.4,0.34,105.0,72970.0
20200101:1200,10.79,95.9,136.75,457.21,58.4,327.05,0.28,121.0,73020.0
20200101:1300,11.99,86.2,348.9,576.41,118.5,322.2,0.07,255.0,73050.0
20200101:1400,13.27,83.25,415.3,359.78,199.1,319.9,0.97,322.0,73080.0
20200101:1500,13.92,83.35,495.45,338.77,237.55,335.95,1.45,310.0,73090.0
20200101:1600,14.61,86.45,471.55,287.06,221.85,338.65,1.79,300.0,73060.0
20200101:1700,14.4,92.7,421.65,175.36,260.45,355.1,1.79,296.0,72990.0
20200101:1800,14.39,92.7,527.45,252.39,298.75,359.95,1.86,296.0,72900.0
20200101:1900,14.49,83.45,416.3,133.64,305.2,355.5,1.93,296.0,72870.0
20200101:2000,13.69,86.35,214.9,56.79,175.15,364.8,1.86,295.0,72850.0
20200101:2100,13.45,86.3,99.6,0.0,99.6,364.8,1.52,304.0,72820.0
20200101:2200,12.83,89.4,40.7,0.49,40.55,372.35,1.17,305.0,72810.0
20200101:2300,12.44,89.35,2.3,0.0,2.3,357.65,1.03,306.0,72890.0
20200102:0000,11.61,92.55,0.0,-0.0,0.0,350.85,0.62,341.0,72950.0
20200102:0100,11.37,95.9,0.0,-0.0,0.0,341.3,0.28,341.0,73010.0
20200102:0200,11.42,95.9,0.0,-0.0,0.0,347.0,0.28,324.0,73100.0
20200102:0300,11.47,92.55,0.0,-0.0,0.0,345.65,0.07,208.0,73140.0
20200102:0400,11.52,92.55,0.0,-0.0,0.0,352.6,0.21,280.0,73130.0
20200102:0500,11.37,95.9,0.0,-0.0,0.0,350.65,0.07,239.0,73090.0
20200102:0600,11.32,92.55,0.0,-0.0,0.0,339.25,0.34,114.0,73010.0
20200102:0700,10.91,99.4,0.0,-0.0,0.0,358.8,0.28,341.0,72940.0
20200102:0800,10.75,99.4,0.0,-0.0,0.0,352.6,0.41,332.0,72890.0
20200102:0900,10.73,99.4,0.0,-0.0,0.0,352.4,0.28,327.0,72910.0
20200102:1000,10.75,95.9,0.0,-0.0,0.0,350.5,0.14,307.0,72900.0
20200102:1100,10.42,99.4,0.0,-0.0,0.0,318.95,0.48,147.0,72960.0
20200102:1200,10.35,95.9,204.9,730.97,80.85,322.6,0.76,134.0,73010.0
20200102:1300,12.51,83.25,324.05,528.82,113.4,314.1,0.0,102.0,73070.0
20200102:1400,13.75,80.4,564.75,635.15,183.7,327.25,0.62,313.0,73090.0
20200102:1500,15.26,69.9,723.05,526.46,322.55,324.55,1.24,326.0,73080.0
20200102:1600,16.08,65.25,654.75,446.07,266.75,323.75,2.0,321.0,73050.0
20200102:1700,15.78,70.0,623.05,357.18,294.55,338.85,2.28,312.0,72990.0
20200102:1800,14.76,77.75,626.55,292.49,361.25,335.55,2.21,299.0,72940.0
20200102:1900,15.98,86.5,361.8,72.48,301.45,359.4,2.34,299.0,72880.0
20200102:2000,14.52,83.45,182.9,22.73,166.95,367.5,2.34,308.0,72870.0
20200102:2100,13.27,86.3,95.65,0.0,95.65,361.3,1.72,304.0,72850.0
20200102:2200,12.47,92.6,34.35,0.0,34.35,367.9,1.24,309.0,72900.0
20200102:2300,11.87,95.9,1.6,0.0,1.6,364.4,0.97,303.0,72950.0
20200103:0000,11.44,99.35,0.0,-0.0,0.0,357.05,0.76,303.0,73030.0
