Date-hour,Month,Day,Hour,G(h),Temperature
20200101:0000,01,01,00,0.0,12.4
20200101:0100,01,01,01,0.0,12.04
20200101:0200,01,01,02,0.0,11.67
20200101:0300,01,01,03,0.0,11.3
20200101:0400,01,01,04,0.0,10.94
20200101:0500,01,01,05,0.0,10.57
20200101:0600,01,01,06,0.0,10.21
20200101:0700,01,01,07,0.0,9.84
20200101:0800,01,01,08,0.0,10.78
20200101:0900,01,01,09,0.0,10.82
20200101:1000,01,01,10,0.0,10.79
20200101:1100,01,01,11,0.0,10.5
20200101:1200,01,01,12,136.75,10.79
20200101:1300,01,01,13,348.9,11.99
20200101:1400,01,01,14,415.3,13.27
20200101:1500,01,01,15,495.45,13.92
20200101:1600,01,01,16,471.55,14.61
20200101:1700,01,01,17,421.65,14.4
20200101:1800,01,01,18,527.45,14.39
20200101:1900,01,01,19,416.3,14.49
20200101:2000,01,01,20,214.9,13.69
20200101:2100,01,01,21,99.6,13.45
20200101:2200,01,01,22,40.7,12.83
20200101:2300,01,01,23,2.3,12.44
20200102:0000,01,02,00,0.0,11.61
20200102:0100,01,02,01,0.0,11.37
20200102:0200,01,02,02,0.0,11.42
20200102:0300,01,02,03,0.0,11.47
20200102:0400,01,02,04,0.0,11.52
20200102:0500,01,02,05,0.0,11.37
20200102:0600,01,02,06,0.0,11.32
20200102:0700,01,02,07,0.0,10.91
20200102:0800,01,02,08,0.0,10.75
20200102:0900,01,02,09,0.0,10.73
20200102:1000,01,02,10,0.0,10.75
20200102:1100,01,02,11,0.0,10.42
20200102:1200,01,02,12,204.9,10.35
20200102:1300,01,02,13,324.05,12.51
20200102:1400,01,02,14,564.75,13.75
20200102:1500,01,02,15,723.05,15.26
20200102:1600,01,02,16,654.75,16.08
20200102:1700,01,02,17,623.05,15.78
20200102:1800,01,02,18,626.55,14.76
20200102:1900,01,02,19,361.8,15.98
20200102:2000,01,02,20,182.9,14.52
20200102:2100,01,02,21,95.65,13.27
20200102:2200,01,02,22,34.35,12.47
20200102:2300,01,02,23,1.6,11.87
20200103:0000,01,03,00,0.0,11.44
20200103:0100,01,03,01,0.0,11.48
20200103:0200,01,03,02,0.0,11.61
20200103:0300,01,03,03,0.0,11.6
20200103:0400,01,03,04,0.0,11.11
20200103:0500,01,03,05,0.0,11.02
20200103:0600,01,03,06,0.0,11.1
20200103:0700,01,03,07,0.0,11.5
20200103:0800,01,03,08,0.0,11.57
20200103:0900,01,03,09,0.0,11.44
20200103:1000,01,03,10,0.0,11.15
20200103:1100,01,03,11,0.0,11.12
20200103:1200,01,03,12,114.3,11.21
20200103:1300,01,03,13,256.15,12.22
20200103:1400,01,03,14,382.85,13.5
20200103:1500,01,03,15,381.75,14.6
20200103:1600,01,03,16,327.45,14.48
20200103:1700,01,03,17,401.0,14.83
20200103:1800,01,03,18,389.7,14.83
20200103:1900,01,03,19,283.6,15.52
20200103:2000,01,03,20,206.4,13.82
20200103:2100,01,03,21,170.35,13.85
20200103:2200,01,03,22,65.05,13.74
20200103:2300,01,03,23,2.5,12.69
20200104:0000,01,04,00,0.0,12.13
20200104:0100,01,04,01,0.0,11.87
20200104:0200,01,04,02,0.0,11.8
20200104:0300,01,04,03,0.0,11.72
20200104:0400,01,04,04,0.0,11.48
20200104:0500,01,04,05,0.0,10.19
20200104:0600,01,04,06,0.0,10.09
20200104:0700,01,04,07,0.0,10.39
20200104:0800,01,04,08,0.0,9.87
20200104:0900,01,04,09,0.0,9.77
20200104:1000,01,04,10,0.0,9.57
20200104:1100,01,04,11,0.0,9.47
