Date-hour,Month,Day,Hour,G(h),Temperature
20110101:0000,01,01,00,0.0,24.18
20110101:0100,01,01,01,0.0,23.61
20110101:0200,01,01,02,0.0,23.03
20110101:0300,01,01,03,0.0,22.45
20110101:0400,01,01,04,0.0,21.88
20110101:0500,01,01,05,0.0,21.3
20110101:0600,01,01,06,0.0,20.73
20110101:0700,01,01,07,0.0,20.15
20110101:0800,01,01,08,0.0,20.96
20110101:0900,01,01,09,0.0,20.37
20110101:1000,01,01,10,0.0,20.48
20110101:1100,01,01,11,0.0,19.96
20110101:1200,01,01,12,236.65,20.86
20110101:1300,01,01,13,441.45,23.21
20110101:1400,01,01,14,515.25,24.32
20110101:1500,01,01,15,548.95,24.97
20110101:1600,01,01,16,659.35,25.25
20110101:1700,01,01,17,590.8,25.56
20110101:1800,01,01,18,478.45,25.27
20110101:1900,01,01,19,421.6,25.31
20110101:2000,01,01,20,220.1,24.6
20110101:2100,01,01,21,50.75,23.78
20110101:2200,01,01,22,0.0,22.9
20110101:2300,01,01,23,0.0,22.27
20110102:0000,01,02,00,0.0,22.08
20110102:0100,01,02,01,0.0,21.66
20110102:0200,01,02,02,0.0,21.25
20110102:0300,01,02,03,0.0,20.97
20110102:0400,01,02,04,0.0,20.78
20110102:0500,01,02,05,0.0,20.81
20110102:0600,01,02,06,0.0,20.69
20110102:0700,01,02,07,0.0,21.34
20110102:0800,01,02,08,0.0,21.07
20110102:0900,01,02,09,0.0,20.72
20110102:1000,01,02,10,0.0,20.51
20110102:1100,01,02,11,0.0,20.46
20110102:1200,01,02,12,198.3,21.24
20110102:1300,01,02,13,323.4,22.34
20110102:1400,01,02,14,516.5,23.25
20110102:1500,01,02,15,514.35,24.27
20110102:1600,01,02,16,667.9,24.68
20110102:1700,01,02,17,568.55,24.85
20110102:1800,01,02,18,491.8,25.26
20110102:1900,01,02,19,431.25,25.24
20110102:2000,01,02,20,210.7,24.99
20110102:2100,01,02,21,56.7,24.26
20110102:2200,01,02,22,0.0,23.21
