Date-hour,Month,Day,Hour,G(h),Temperature
20100101:0000,01,01,00,0.0,11.14
20100101:0100,01,01,01,0.0,10.19
20100101:0200,01,01,02,0.0,9.24
20100101:0300,01,01,03,0.0,8.29
20100101:0400,01,01,04,0.0,7.34
20100101:0500,01,01,05,0.0,6.38
20100101:0600,01,01,06,0.0,5.43
20100101:0700,01,01,07,0.0,4.48
20100101:0800,01,01,08,0.0,5.12
20100101:0900,01,01,09,0.0,4.79
20100101:1000,01,01,10,0.0,4.49
20100101:1100,01,01,11,0.0,4.26
20100101:1200,01,01,12,313.2,5.27
20100101:1300,01,01,13,566.5,9.38
20100101:1400,01,01,14,775.6,12.23
20100101:1500,01,01,15,934.6,14.16
20100101:1600,01,01,16,1011.7,15.65
20100101:1700,01,01,17,1012.0,16.56
20100101:1800,01,01,18,910.1,16.9
20100101:1900,01,01,19,756.65,16.7
20100101:2000,01,01,20,531.95,16.07
20100101:2100,01,01,21,300.4,14.71
20100101:2200,01,01,22,67.25,13.53
20100101:2300,01,01,23,0.0,11.92
20100102:0000,01,02,00,0.0,10.24
20100102:0100,01,02,01,0.0,9.31
20100102:0200,01,02,02,0.0,8.25
20100102:0300,01,02,03,0.0,7.44
20100102:0400,01,02,04,0.0,6.73
20100102:0500,01,02,05,0.0,6.19
20100102:0600,01,02,06,0.0,5.9
20100102:0700,01,02,07,0.0,5.53
20100102:0800,01,02,08,0.0,5.17
20100102:0900,01,02,09,0.0,5.16
20100102:1000,01,02,10,0.0,4.65
20100102:1100,01,02,11,0.0,4.68
20100102:1200,01,02,12,278.55,5.73
20100102:1300,01,02,13,522.5,9.39
20100102:1400,01,02,14,728.7,11.87
20100102:1500,01,02,15,917.6,13.59
20100102:1600,01,02,16,950.7,15.2
20100102:1700,01,02,17,933.75,16.16
20100102:1800,01,02,18,852.9,16.71
20100102:1900,01,02,19,672.0,17.15
20100102:2000,01,02,20,508.7,16.44
20100102:2100,01,02,21,268.35,15.28
20100102:2200,01,02,22,57.55,13.78
20100102:2300,01,02,23,0.0,12.21
20100103:0000,01,03,00,0.0,10.81
20100103:0100,01,03,01,0.0,9.75
20100103:0200,01,03,02,0.0,9.01
20100103:0300,01,03,03,0.0,8.3
20100103:0400,01,03,04,0.0,7.67
20100103:0500,01,03,05,0.0,6.95
20100103:0600,01,03,06,0.0,6.49
20100103:0700,01,03,07,0.0,6.46
20100103:0800,01,03,08,0.0,5.94
20100103:0900,01,03,09,0.0,5.43
20100103:1000,01,03,10,0.0,5.24
20100103:1100,01,03,11,0.0,4.58
20100103:1200,01,03,12,256.15,5.33
20100103:1300,01,03,13,489.4,9.18
20100103:1400,01,03,14,728.35,12.11
20100103:1500,01,03,15,908.5,14.26
20100103:1600,01,03,16,958.1,15.94
20100103:1700,01,03,17,998.25,16.78
20100103:1800,01,03,18,890.85,17.66
20100103:1900,01,03,19,775.3,17.33
20100103:2000,01,03,20,561.6,17.09
20100103:2100,01,03,21,302.45,16.11
20100103:2200,01,03,22,69.4,14.6
20100103:2300,01,03,23,0.0,12.7
20100104:0000,01,04,00,0.0,11.15
20100104:0100,01,04,01,0.0,9.67
20100104:0200,01,04,02,0.0,8.74
20100104:0300,01,04,03,0.0,8.13
20100104:0400,01,04,04,0.0,7.7
20100104:0500,01,04,05,0.0,7.22
20100104:0600,01,04,06,0.0,6.97
20100104:0700,01,04,07,0.0,6.74
20100104:0800,01,04,08,0.0,6.58
20100104:0900,01,04,09,0.0,6.4
20100104:1000,01,04,10,0.0,6.08
20100104:1100,01,04,11,0.0,5.86
20100104:1200,01,04,12,285.85,6.49
20100104:1300,01,04,13,541.45,9.74
20100104:1400,01,04,14,739.15,12.73
20100104:1500,01,04,15,869.75,14.53
20100104:1600,01,04,16,1006.55,15.85
20100104:1700,01,04,17,1006.4,17.3
20100104:1800,01,04,18,930.15,17.9
20100104:1900,01,04,19,780.45,17.75
20100104:2000,01,04,20,553.55,17.03
20100104:2100,01,04,21,315.4,15.53
20100104:2200,01,04,22,73.0,14.08
20100104:2300,01,04,23,0.0,12.21
20100105:0000,01,05,00,0.0,10.68
20100105:0100,01,05,01,0.0,9.27
20100105:0200,01,05,02,0.0,8.19
20100105:0300,01,05,03,0.0,7.38
20100105:0400,01,05,04,0.0,6.97
20100105:0500,01,05,05,0.0,6.45
20100105:0600,01,05,06,0.0,6.3
20100105:0700,01,05,07,0.0,6.05
20100105:0800,01,05,08,0.0,5.67
20100105:0900,01,05,09,0.0,5.21
20100105:1000,01,05,10,0.0,5.07
20100105:1100,01,05,11,0.0,4.65
20100105:1200,01,05,12,295.95,5.32
20100105:1300,01,05,13,534.85,9.38
20100105:1400,01,05,14,754.85,12.24
20100105:1500,01,05,15,896.15,14.28
20100105:1600,01,05,16,978.15,15.66
20100105:1700,01,05,17,837.25,16.59
20100105:1800,01,05,18,826.4,16.6
20100105:1900,01,05,19,672.8,16.22
20100105:2000,01,05,20,463.45,15.86
20100105:2100,01,05,21,291.05,14.94
20100105:2200,01,05,22,69.45,13.59
20100105:2300,01,05,23,0.0,12.03
20100106:0000,01,06,00,0.0,10.57
20100106:0100,01,06,01,0.0,9.8
20100106:0200,01,06,02,0.0,9.03
20100106:0300,01,06,03,0.0,8.49
20100106:0400,01,06,04,0.0,7.95
20100106:0500,01,06,05,0.0,7.58
20100106:0600,01,06,06,0.0,7.37
20100106:0700,01,06,07,0.0,7.43
20100106:0800,01,06,08,0.0,7.05
20100106:0900,01,06,09,0.0,6.89
20100106:1000,01,06,10,0.0,6.82
20100106:1100,01,06,11,0.0,6.51
20100106:1200,01,06,12,241.75,7.03
20100106:1300,01,06,13,447.6,9.95
20100106:1400,01,06,14,689.4,12.26
20100106:1500,01,06,15,881.6,14.22
20100106:1600,01,06,16,973.1,15.75
20100106:1700,01,06,17,979.8,16.82
20100106:1800,01,06,18,832.5,17.77
20100106:1900,01,06,19,688.45,16.92
20100106:2000,01,06,20,493.6,16.22
20100106:2100,01,06,21,285.1,14.81
20100106:2200,01,06,22,70.25,13.61
20100106:2300,01,06,23,0.0,12.17
20100107:0000,01,07,00,0.0,10.95
20100107:0100,01,07,01,0.0,10.4
20100107:0200,01,07,02,0.0,9.65
20100107:0300,01,07,03,0.0,9.2
20100107:0400,01,07,04,0.0,8.97
20100107:0500,01,07,05,0.0,8.41
20100107:0600,01,07,06,0.0,8.44
20100107:0700,01,07,07,0.0,7.9
20100107:0800,01,07,08,0.0,7.76
20100107:0900,01,07,09,0.0,7.49
20100107:1000,01,07,10,0.0,7.53
20100107:1100,01,07,11,0.0,7.54
20100107:1200,01,07,12,166.75,8.09
20100107:1300,01,07,13,385.65,10.41
20100107:1400,01,07,14,511.6,12.73
20100107:1500,01,07,15,676.45,14.78
20100107:1600,01,07,16,716.8,16.35
20100107:1700,01,07,17,714.55,17.16
20100107:1800,01,07,18,743.25,17.16
20100107:1900,01,07,19,629.55,17.54
20100107:2000,01,07,20,403.6,17.15
20100107:2100,01,07,21,244.0,15.98
20100107:2200,01,07,22,63.6,14.65
20100107:2300,01,07,23,0.0,13.11
20100108:0000,01,08,00,0.0,11.89
20100108:0100,01,08,01,0.0,10.69
20100108:0200,01,08,02,0.0,10.19
20100108:0300,01,08,03,0.0,9.82
20100108:0400,01,08,04,0.0,9.73
20100108:0500,01,08,05,0.0,9.42
20100108:0600,01,08,06,0.0,9.26
20100108:0700,01,08,07,0.0,8.95
20100108:0800,01,08,08,0.0,8.5
20100108:0900,01,08,09,0.0,8.54
20100108:1000,01,08,10,0.0,8.56
20100108:1100,01,08,11,0.0,8.41
20100108:1200,01,08,12,204.25,8.87
20100108:1300,01,08,13,421.05,10.25
20100108:1400,01,08,14,539.65,12.24
20100108:1500,01,08,15,626.45,13.95
20100108:1600,01,08,16,606.95,15.75
20100108:1700,01,08,17,701.35,17.03
20100108:1800,01,08,18,722.85,17.6
20100108:1900,01,08,19,526.25,18.25
20100108:2000,01,08,20,469.65,17.05
20100108:2100,01,08,21,218.2,15.76
20100108:2200,01,08,22,54.55,14.14
20100108:2300,01,08,23,0.0,12.88
20100109:0000,01,09,00,0.0,11.64
20100109:0100,01,09,01,0.0,10.95
20100109:0200,01,09,02,0.0,10.38
20100109:0300,01,09,03,0.0,9.99
20100109:0400,01,09,04,0.0,9.92
20100109:0500,01,09,05,0.0,9.76
20100109:0600,01,09,06,0.0,9.6
20100109:0700,01,09,07,0.0,9.45
20100109:0800,01,09,08,0.0,9.19
20100109:0900,01,09,09,0.0,9.0
20100109:1000,01,09,10,0.0,8.74
20100109:1100,01,09,11,0.0,8.44
20100109:1200,01,09,12,169.3,8.71
20100109:1300,01,09,13,425.35,10.17
20100109:1400,01,09,14,615.25,12.41
20100109:1500,01,09,15,692.5,14.42
20100109:1600,01,09,16,833.65,16.14
20100109:1700,01,09,17,805.2,17.96
20100109:1800,01,09,18,808.1,18.38
20100109:1900,01,09,19,588.65,17.69
20100109:2000,01,09,20,466.85,16.57
20100109:2100,01,09,21,279.95,15.72
20100109:2200,01,09,22,58.35,14.42
20100109:2300,01,09,23,0.0,12.93
20100110:0000,01,10,00,0.0,11.6
20100110:0100,01,10,01,0.0,11.01
20100110:0200,01,10,02,0.0,10.3
20100110:0300,01,10,03,0.0,9.68
20100110:0400,01,10,04,0.0,8.94
20100110:0500,01,10,05,0.0,8.49
20100110:0600,01,10,06,0.0,8.01
20100110:0700,01,10,07,0.0,7.69
20100110:0800,01,10,08,0.0,7.21
20100110:0900,01,10,09,0.0,7.09
20100110:1000,01,10,10,0.0,6.92
20100110:1100,01,10,11,0.0,6.82
20100110:1200,01,10,12,164.95,7.96
20100110:1300,01,10,13,362.55,10.12
20100110:1400,01,10,14,592.8,12.17
20100110:1500,01,10,15,677.05,14.09
20100110:1600,01,10,16,810.3,15.32
20100110:1700,01,10,17,764.05,16.05
20100110:1800,01,10,18,676.65,16.31
20100110:1900,01,10,19,597.5,15.65
20100110:2000,01,10,20,507.55,15.87
20100110:2100,01,10,21,212.8,14.63
20100110:2200,01,10,22,53.5,13.27
20100110:2300,01,10,23,0.0,11.98
20100111:0000,01,11,00,0.0,11.12
20100111:0100,01,11,01,0.0,10.45
20100111:0200,01,11,02,0.0,10.27
20100111:0300,01,11,03,0.0,10.11
20100111:0400,01,11,04,0.0,9.95
20100111:0500,01,11,05,0.0,9.75
20100111:0600,01,11,06,0.0,9.62
20100111:0700,01,11,07,0.0,9.59
20100111:0800,01,11,08,0.0,9.65
20100111:0900,01,11,09,0.0,9.38
20100111:1000,01,11,10,0.0,9.46
20100111:1100,01,11,11,0.0,9.31
20100111:1200,01,11,12,154.45,9.57
20100111:1300,01,11,13,394.45,10.54
20100111:1400,01,11,14,590.15,12.0
20100111:1500,01,11,15,691.45,13.87
20100111:1600,01,11,16,844.15,14.91
20100111:1700,01,11,17,760.45,15.39
20100111:1800,01,11,18,757.75,15.24
20100111:1900,01,11,19,697.05,16.18
20100111:2000,01,11,20,462.1,15.4
20100111:2100,01,11,21,276.35,14.86
20100111:2200,01,11,22,65.55,13.13
20100111:2300,01,11,23,0.0,12.13
20100112:0000,01,12,00,0.0,10.98
20100112:0100,01,12,01,0.0,9.9
20100112:0200,01,12,02,0.0,9.36
20100112:0300,01,12,03,0.0,8.72
20100112:0400,01,12,04,0.0,8.17
20100112:0500,01,12,05,0.0,7.77
20100112:0600,01,12,06,0.0,7.46
20100112:0700,01,12,07,0.0,7.66
20100112:0800,01,12,08,0.0,7.37
20100112:0900,01,12,09,0.0,7.09
20100112:1000,01,12,10,0.0,7.01
20100112:1100,01,12,11,0.0,7.03
20100112:1200,01,12,12,180.55,7.27
20100112:1300,01,12,13,452.6,9.13
20100112:1400,01,12,14,741.3,12.15
20100112:1500,01,12,15,885.6,14.64
20100112:1600,01,12,16,958.8,16.06
20100112:1700,01,12,17,988.3,17.25
20100112:1800,01,12,18,868.45,17.96
20100112:1900,01,12,19,729.7,17.63
20100112:2000,01,12,20,537.0,16.77
20100112:2100,01,12,21,307.65,15.74
20100112:2200,01,12,22,77.3,14.23
20100112:2300,01,12,23,0.0,12.82
20100113:0000,01,13,00,0.0,11.69
20100113:0100,01,13,01,0.0,10.62
20100113:0200,01,13,02,0.0,9.58
20100113:0300,01,13,03,0.0,8.76
20100113:0400,01,13,04,0.0,8.21
20100113:0500,01,13,05,0.0,7.58
20100113:0600,01,13,06,0.0,7.11
20100113:0700,01,13,07,0.0,6.87
20100113:0800,01,13,08,0.0,6.29
20100113:0900,01,13,09,0.0,6.01
20100113:1000,01,13,10,0.0,5.97
20100113:1100,01,13,11,0.0,6.24
20100113:1200,01,13,12,222.15,6.7
20100113:1300,01,13,13,497.85,9.58
20100113:1400,01,13,14,625.7,12.15
20100113:1500,01,13,15,829.05,13.96
20100113:1600,01,13,16,842.55,15.71
20100113:1700,01,13,17,918.95,16.43
20100113:1800,01,13,18,797.15,17.08
20100113:1900,01,13,19,694.1,17.41
20100113:2000,01,13,20,503.15,16.48
20100113:2100,01,13,21,297.7,15.21
20100113:2200,01,13,22,79.55,13.76
20100113:2300,01,13,23,0.0,12.15
20100114:0000,01,14,00,0.0,11.06
20100114:0100,01,14,01,0.0,10.06
20100114:0200,01,14,02,0.0,9.46
20100114:0300,01,14,03,0.0,8.73
20100114:0400,01,14,04,0.0,8.04
20100114:0500,01,14,05,0.0,7.65
20100114:0600,01,14,06,0.0,7.21
20100114:0700,01,14,07,0.0,7.16
20100114:0800,01,14,08,0.0,6.84
20100114:0900,01,14,09,0.0,6.46
20100114:1000,01,14,10,0.0,6.24
20100114:1100,01,14,11,0.0,5.95
20100114:1200,01,14,12,282.8,6.5
