Date-hour,Month,Day,Hour,G(h),Temperature
20070101:0000,01,01,00,25.05,8.25
20070101:0100,01,01,01,0.1,7.75
20070101:0200,01,01,02,0.0,7.24
20070101:0300,01,01,03,0.0,6.74
20070101:0400,01,01,04,0.0,6.24
20070101:0500,01,01,05,0.0,5.74
20070101:0600,01,01,06,0.0,5.24
20070101:0700,01,01,07,0.0,4.74
20070101:0800,01,01,08,0.0,4.74
20070101:0900,01,01,09,34.9,4.29
20070101:1000,01,01,10,79.65,4.71
20070101:1100,01,01,11,117.65,4.85
20070101:1200,01,01,12,145.75,5.31
20070101:1300,01,01,13,255.0,5.83
20070101:1400,01,01,14,338.35,6.46
20070101:1500,01,01,15,277.4,7.17
20070101:1600,01,01,16,382.55,7.11
20070101:1700,01,01,17,441.75,7.53
20070101:1800,01,01,18,495.2,8.1
20070101:1900,01,01,19,396.35,8.27
20070101:2000,01,01,20,368.55,8.04
20070101:2100,01,01,21,247.8,7.31
20070101:2200,01,01,22,240.65,7.17
20070101:2300,01,01,23,103.35,6.61
20070102:0000,01,02,00,27.7,6.29
20070102:0100,01,02,01,0.1,5.67
20070102:0200,01,02,02,0.0,5.04
20070102:0300,01,02,03,0.0,4.38
20070102:0400,01,02,04,0.0,4.66
20070102:0500,01,02,05,0.0,4.29
20070102:0600,01,02,06,0.0,4.92
20070102:0700,01,02,07,0.0,4.52
20070102:0800,01,02,08,0.0,4.45
20070102:0900,01,02,09,83.05,4.11
20070102:1000,01,02,10,248.05,5.47
20070102:1100,01,02,11,400.7,5.76
20070102:1200,01,02,12,541.75,6.63
20070102:1300,01,02,13,643.6,7.16
20070102:1400,01,02,14,786.15,8.19
20070102:1500,01,02,15,793.8,9.7
20070102:1600,01,02,16,867.1,9.95
20070102:1700,01,02,17,825.2,10.61
20070102:1800,01,02,18,778.45,10.94
20070102:1900,01,02,19,584.55,10.64
20070102:2000,01,02,20,505.85,9.9
20070102:2100,01,02,21,373.55,8.83
20070102:2200,01,02,22,178.3,8.13
20070102:2300,01,02,23,89.05,8.0
20070103:0000,01,03,00,36.0,7.66
20070103:0100,01,03,01,0.15,6.68
20070103:0200,01,03,02,0.0,5.79
20070103:0300,01,03,03,0.0,5.97
20070103:0400,01,03,04,0.0,5.84
20070103:0500,01,03,05,0.0,5.42
20070103:0600,01,03,06,0.0,5.71
20070103:0700,01,03,07,0.0,5.56
20070103:0800,01,03,08,0.0,5.69
20070103:0900,01,03,09,35.1,5.3
20070103:1000,01,03,10,185.75,6.27
20070103:1100,01,03,11,292.15,7.21
20070103:1200,01,03,12,491.7,8.01
20070103:1300,01,03,13,546.65,9.41
20070103:1400,01,03,14,672.1,9.9
20070103:1500,01,03,15,854.85,11.96
20070103:1600,01,03,16,744.35,12.07
20070103:1700,01,03,17,565.75,12.15
20070103:1800,01,03,18,480.15,11.1
20070103:1900,01,03,19,370.5,11.17
20070103:2000,01,03,20,380.05,10.98
20070103:2100,01,03,21,203.95,10.35
20070103:2200,01,03,22,137.2,9.08
20070103:2300,01,03,23,43.75,7.16
20070104:0000,01,04,00,9.7,5.26
20070104:0100,01,04,01,0.0,4.48
20070104:0200,01,04,02,0.0,3.84
20070104:0300,01,04,03,0.0,2.86
20070104:0400,01,04,04,0.0,2.41
20070104:0500,01,04,05,0.0,2.37
20070104:0600,01,04,06,0.0,2.39
20070104:0700,01,04,07,0.0,2.19
20070104:0800,01,04,08,0.0,2.21
20070104:0900,01,04,09,71.1,1.79
20070104:1000,01,04,10,127.25,3.21
20070104:1100,01,04,11,209.65,3.77
20070104:1200,01,04,12,350.3,4.45
20070104:1300,01,04,13,573.15,4.93
20070104:1400,01,04,14,592.9,5.58
20070104:1500,01,04,15,703.8,6.23
20070104:1600,01,04,16,606.65,7.23
20070104:1700,01,04,17,726.5,7.25
20070104:1800,01,04,18,620.9,7.33
20070104:1900,01,04,19,529.6,7.31
20070104:2000,01,04,20,388.0,7.13
20070104:2100,01,04,21,334.5,6.72
20070104:2200,01,04,22,232.75,6.4
20070104:2300,01,04,23,107.05,5.87
20070105:0000,01,05,00,23.1,5.45
20070105:0100,01,05,01,0.05,4.62
20070105:0200,01,05,02,0.0,4.37
20070105:0300,01,05,03,0.0,4.23
20070105:0400,01,05,04,0.0,3.91
20070105:0500,01,05,05,0.0,3.67
20070105:0600,01,05,06,0.0,4.01
20070105:0700,01,05,07,0.0,3.83
20070105:0800,01,05,08,0.0,3.62
20070105:0900,01,05,09,41.35,3.25
20070105:1000,01,05,10,134.6,4.02
20070105:1100,01,05,11,230.45,4.54
20070105:1200,01,05,12,399.65,4.95
20070105:1300,01,05,13,349.3,5.84
20070105:1400,01,05,14,501.75,5.8
20070105:1500,01,05,15,533.05,6.91
20070105:1600,01,05,16,635.5,7.32
20070105:1700,01,05,17,411.1,8.04
20070105:1800,01,05,18,438.05,7.32
20070105:1900,01,05,19,430.95,7.62
20070105:2000,01,05,20,218.55,7.69
20070105:2100,01,05,21,211.55,7.07
20070105:2200,01,05,22,127.05,7.21
20070105:2300,01,05,23,50.4,6.78
20070106:0000,01,06,00,14.55,6.05
20070106:0100,01,06,01,0.05,5.3
20070106:0200,01,06,02,0.0,5.04
20070106:0300,01,06,03,0.0,4.72
20070106:0400,01,06,04,0.0,4.75
20070106:0500,01,06,05,0.0,3.8
20070106:0600,01,06,06,0.0,3.66
20070106:0700,01,06,07,0.0,3.66
20070106:0800,01,06,08,0.0,3.75
20070106:0900,01,06,09,66.25,3.23
20070106:1000,01,06,10,155.45,4.43
20070106:1100,01,06,11,288.25,4.89
20070106:1200,01,06,12,274.55,5.74
20070106:1300,01,06,13,290.85,6.53
20070106:1400,01,06,14,291.35,6.79
20070106:1500,01,06,15,356.25,7.9
20070106:1600,01,06,16,308.1,8.92
20070106:1700,01,06,17,287.6,9.35
20070106:1800,01,06,18,267.75,9.44
20070106:1900,01,06,19,201.4,9.34
20070106:2000,01,06,20,188.4,9.45
20070106:2100,01,06,21,187.35,9.22
20070106:2200,01,06,22,239.45,10.32
20070106:2300,01,06,23,119.1,10.42
20070107:0000,01,07,00,34.7,9.23
20070107:0100,01,07,01,0.05,7.47
20070107:0200,01,07,02,0.0,6.33
20070107:0300,01,07,03,0.0,6.11
20070107:0400,01,07,04,0.0,5.55
20070107:0500,01,07,05,0.0,4.37
20070107:0600,01,07,06,0.0,5.6
20070107:0700,01,07,07,0.0,4.73
20070107:0800,01,07,08,0.0,4.86
20070107:0900,01,07,09,74.55,5.14
20070107:1000,01,07,10,155.85,6.94
20070107:1100,01,07,11,254.5,8.39
20070107:1200,01,07,12,325.4,9.07
20070107:1300,01,07,13,306.4,10.43
20070107:1400,01,07,14,462.65,11.26
20070107:1500,01,07,15,497.8,13.31
20070107:1600,01,07,16,437.0,13.82
20070107:1700,01,07,17,637.75,13.5
20070107:1800,01,07,18,602.9,13.42
20070107:1900,01,07,19,464.35,13.07
20070107:2000,01,07,20,206.15,14.4
20070107:2100,01,07,21,142.3,13.61
20070107:2200,01,07,22,120.7,12.92
20070107:2300,01,07,23,97.45,12.91
20070108:0000,01,08,00,29.25,12.4
20070108:0100,01,08,01,0.05,11.13
20070108:0200,01,08,02,0.0,10.06
20070108:0300,01,08,03,0.0,8.74
20070108:0400,01,08,04,0.0,6.91
20070108:0500,01,08,05,0.0,6.78
20070108:0600,01,08,06,0.0,7.33
20070108:0700,01,08,07,0.0,7.46
20070108:0800,01,08,08,0.0,7.26
20070108:0900,01,08,09,51.5,7.38
20070108:1000,01,08,10,122.15,10.93
20070108:1100,01,08,11,231.3,11.88
20070108:1200,01,08,12,263.95,12.55
20070108:1300,01,08,13,385.9,12.95
20070108:1400,01,08,14,421.85,13.6
20070108:1500,01,08,15,514.95,15.2
20070108:1600,01,08,16,531.6,15.7
20070108:1700,01,08,17,444.3,15.79
20070108:1800,01,08,18,400.4,15.21
20070108:1900,01,08,19,242.05,15.01
20070108:2000,01,08,20,174.55,14.11
20070108:2100,01,08,21,178.85,12.61
20070108:2200,01,08,22,127.8,11.65
20070108:2300,01,08,23,65.8,11.04
20070109:0000,01,09,00,21.7,10.27
20070109:0100,01,09,01,0.0,9.2
20070109:0200,01,09,02,0.0,8.53
20070109:0300,01,09,03,0.0,8.66
20070109:0400,01,09,04,0.0,7.82
20070109:0500,01,09,05,0.0,6.96
20070109:0600,01,09,06,0.0,7.19
20070109:0700,01,09,07,0.0,7.03
20070109:0800,01,09,08,0.0,7.07
20070109:0900,01,09,09,97.6,6.55
20070109:1000,01,09,10,244.3,7.54
20070109:1100,01,09,11,367.8,8.35
20070109:1200,01,09,12,523.15,8.7
20070109:1300,01,09,13,426.25,9.07
20070109:1400,01,09,14,529.2,9.29
20070109:1500,01,09,15,661.05,11.07
20070109:1600,01,09,16,418.3,11.11
20070109:1700,01,09,17,602.05,10.55
20070109:1800,01,09,18,686.55,11.03
20070109:1900,01,09,19,599.4,10.9
20070109:2000,01,09,20,507.05,10.55
20070109:2100,01,09,21,348.6,9.89
20070109:2200,01,09,22,280.5,9.27
20070109:2300,01,09,23,139.7,8.52
20070110:0000,01,10,00,41.35,7.65
